Kernel,gx,gy,gz,bx,by,bz,gpuId,shared_efficiency
1,10,2,16,2,160,1,0,0.0
1,2,1,64,80,10,1,0,0.0
1,20,5,4,8,1,32,0,0.0
1,4,4,8,80,10,1,0,0.0
1,80,20,1,4,4,4,0,0.0
1,8,2,100,4,16,1,0,0.0
0,80,4,2,32,5,1,0,0.0
0,128,1,1,4,4,50,0,0.0
1,1,4,50,32,2,8,0,0.0
1,20,1,5,16,2,32,0,0.0
1,16,4,2,100,8,1,0,0.0
1,2,20,8,1,40,8,0,0.0
1,2,5,160,16,4,1,0,0.0
1,2,400,1,1,128,1,0,0.0
1,80,20,1,1,64,1,0,0.0
0,10,8,2,4,80,2,0,0.0
1,16,10,5,4,1,32,0,0.0
1,8,1,80,1,160,1,0,0.0
1,4,40,2,2,40,4,0,0.0
1,25,8,4,4,16,2,0,0.0
1,10,1,16,64,2,5,0,0.0
1,8,16,5,1,20,8,0,0.0
0,8,2,25,32,1,8,0,0.0
0,5,4,8,16,2,20,0,0.0
1,2,1,800,2,32,1,0,0.0
1,80,10,1,1,4,32,0,0.0
1,1,5,64,5,32,2,0,0.0
1,40,2,2,16,40,1,0,0.0
1,1,160,4,4,20,2,0,0.0
1,2,1,160,20,16,1,0,0.0
1,1,8,16,8,2,50,0,0.0
1,1,8,16,1,40,20,0,0.0
1,2,5,10,2,512,1,0,0.0
0,1,16,10,320,1,2,0,0.0
1,1,8,20,40,8,2,0,0.0
1,1,16,40,5,32,1,0,0.0
1,2,40,4,16,1,20,0,0.0
1,4,20,8,16,10,1,0,0.0
1,20,8,20,4,8,1,0,0.0
1,200,2,1,16,16,1,0,0.0
0,20,1,8,8,2,40,0,0.0
1,40,1,8,10,16,2,0,0.0
1,32,5,10,2,16,2,0,0.0
1,2,4,100,16,4,2,0,0.0
1,2,16,4,160,5,1,0,0.0
0,16,5,5,1,64,4,0,0.0
1,32,20,1,2,10,8,0,0.0
1,5,16,8,5,1,32,0,0.0
1,80,2,20,8,2,2,0,0.0
1,4,10,16,1,40,4,0,0.0
1,10,20,1,1,8,64,0,0.0
1,10,1,32,20,8,2,0,0.0
0,16,20,2,40,1,4,0,0.0
1,400,4,1,4,16,1,0,0.0
1,100,1,4,32,8,1,0,0.0
1,4,4,40,1,8,20,0,0.0
1,80,4,1,8,4,10,0,0.0
0,2,32,2,8,25,4,0,0.0
0,1,5,32,8,16,5,0,0.0
1,1,50,4,8,32,2,0,0.0
1,64,5,5,8,4,2,0,0.0
1,1,4,160,8,2,10,0,0.0
1,25,16,2,1,2,64,0,0.0
1,50,2,32,2,16,1,0,0.0
0,40,1,10,2,2,64,0,0.0
0,160,2,1,5,1,64,0,0.0
1,10,16,2,16,20,1,0,0.0
1,2,80,5,4,4,8,0,0.0
1,10,2,10,128,1,4,0,0.0
0,25,8,4,16,1,8,0,0.0
1,200,4,2,32,2,1,0,0.0
1,20,32,1,2,4,20,0,0.0
1,16,1,40,2,10,8,0,0.0
1,1,25,64,2,4,8,0,0.0
1,5,16,40,4,1,8,0,0.0
1,1,2,200,4,2,32,0,0.0
1,2,8,200,4,8,1,0,0.0
1,16,1,8,25,1,32,0,0.0
1,640,1,5,1,4,8,0,0.0
1,8,5,40,8,8,1,0,0.0
1,5,16,40,2,8,2,0,0.0
0,4,1,400,4,4,4,0,0.0
1,2,160,10,2,8,2,0,0.0
0,160,5,2,32,1,2,0,0.0
1,8,20,2,10,2,16,0,0.0
1,1,2,100,32,2,8,0,0.0
0,1,5,64,1,10,32,0,0.0
0,2,5,160,2,32,1,0,0.0
1,200,4,1,32,2,2,0,0.0
1,16,1,20,20,8,2,0,0.0
1,4,40,1,64,5,2,0,0.0
1,1,100,32,8,2,2,0,0.0
0,4,2,50,32,2,4,0,0.0
1,5,4,10,1,8,64,0,0.0
1,1,4,160,5,4,8,0,0.0
1,32,10,1,20,8,2,0,0.0
1,1,80,8,20,1,8,0,0.0
1,5,10,64,2,8,2,0,0.0
1,1,8,20,320,2,1,0,0.0
1,25,4,2,8,2,32,0,0.0
1,25,1,4,8,2,64,0,0.0
1,16,4,2,4,200,1,0,0.0
1,5,2,16,40,1,16,0,0.0
0,8,5,40,4,2,8,0,0.0
1,80,1,10,1,32,4,0,0.0
1,2,8,40,5,16,2,0,0.0
1,10,32,1,8,20,2,0,0.0
1,4,1,25,1,16,64,0,0.0
1,80,2,4,8,4,5,0,0.0
1,4,40,2,40,1,8,0,0.0
0,1,32,100,16,1,2,0,0.0
1,20,1,16,2,20,8,0,0.0
1,4,32,1,50,16,1,0,0.0
1,1,320,1,1,80,4,0,0.0
1,4,4,8,16,1,50,0,0.0
1,1,128,25,1,8,4,0,0.0
1,1,32,25,4,32,1,0,0.0
1,16,5,2,5,16,8,0,0.0
1,32,1,5,5,32,4,0,0.0
0,1,128,5,10,8,2,0,0.0
1,80,5,4,4,4,4,0,0.0
1,2,400,1,4,32,1,0,0.0
1,4,8,4,8,100,1,0,0.0
1,50,4,1,4,64,2,0,0.0
1,1,25,8,256,1,2,0,0.0
1,5,32,4,2,10,8,0,0.0
1,320,2,1,32,1,5,0,0.0
1,3200,1,1,4,8,1,0,0.0
0,128,1,5,1,4,40,0,0.0
1,10,32,1,20,8,2,0,0.0
1,32,4,1,4,10,20,0,0.0
1,4,2,20,4,4,40,0,0.0
1,2,5,160,2,1,32,0,0.0
1,1,16,40,1,32,5,0,0.0
0,8,80,1,1,32,5,0,0.0
1,2,2,40,4,160,1,0,0.0
1,2,10,16,320,1,1,0,0.0
1,4,4,40,4,2,20,0,0.0
1,64,5,2,10,8,2,0,0.0
0,32,50,1,2,32,1,0,0.0
1,16,25,8,16,1,2,0,0.0
1,5,64,2,80,2,1,0,0.0
0,4,100,4,16,1,4,0,0.0
0,160,1,4,2,2,40,0,0.0
0,10,20,2,4,2,32,0,0.0
0,4,16,2,25,2,16,0,0.0
1,16,5,10,1,64,2,0,0.0
1,5,4,20,16,1,16,0,0.0
1,10,1,40,32,2,4,0,0.0
1,4,32,1,32,5,5,0,0.0
1,5,64,10,1,8,4,0,0.0
1,4,25,4,1,8,32,0,0.0
0,2,100,1,2,256,1,0,0.0
1,5,2,320,8,4,1,0,0.0
0,64,5,2,1,40,4,0,0.0
1,8,20,1,4,5,32,0,0.0
1,1,160,4,40,1,4,0,0.0
1,1,1,320,80,4,1,0,0.0
1,25,32,1,16,1,8,0,0.0
0,10,8,20,16,1,4,0,0.0
1,2,10,32,5,1,32,0,0.0
1,128,1,1,5,160,1,0,0.0
1,5,4,10,32,8,2,0,0.0
1,20,1,80,16,1,4,0,0.0
1,4,40,1,32,2,10,0,0.0
1,1,4,32,5,8,20,0,0.0
0,10,1,10,4,4,64,0,0.0
0,5,40,4,8,4,4,0,0.0
1,1,25,4,4,128,2,0,0.0
1,5,2,32,10,32,1,0,0.0
1,4,80,10,16,2,1,0,0.0
1,1,1,160,2,32,10,0,0.0
1,20,4,4,32,1,10,0,0.0
1,4,20,4,32,5,2,0,0.0
0,4,5,5,16,64,1,0,0.0
1,20,2,20,4,1,32,0,0.0
1,2,8,100,8,2,4,0,0.0
1,10,4,16,8,1,20,0,0.0
1,16,1,8,2,20,20,0,0.0
1,20,20,2,2,32,2,0,0.0
0,16,1,8,80,1,10,0,0.0
1,4,1,160,4,4,10,0,0.0
1,5,4,20,32,2,4,0,0.0
1,1,160,2,2,160,1,0,0.0
1,20,5,2,16,4,8,0,0.0
1,160,5,1,16,4,2,0,0.0
1,1,2,64,25,8,4,0,0.0
0,16,25,8,4,2,4,0,0.0
1,2,25,16,4,1,32,0,0.0
1,1,1,400,128,2,1,0,0.0
1,10,4,10,4,8,8,0,0.0
1,20,8,1,16,4,10,0,0.0
1,10,1,10,16,4,16,0,0.0
1,1,100,4,8,4,8,0,0.0
1,1,200,8,1,64,1,0,0.0
1,20,16,2,80,1,2,0,0.0
1,64,1,5,80,1,4,0,0.0
1,4,5,32,8,2,10,0,0.0
1,16,2,10,2,8,20,0,0.0
1,1,8,80,8,2,10,0,0.0
1,8,40,2,1,160,1,0,0.0
1,5,5,8,8,16,4,0,0.0
1,1,5,64,1,20,16,0,0.0
1,8,10,4,2,10,16,0,0.0
1,25,2,64,4,4,2,0,0.0
1,4,160,1,1,8,20,0,0.0
0,8,16,25,1,16,2,0,0.0
0,8,5,8,20,2,8,0,0.0
1,16,100,1,4,16,1,0,0.0
1,4,5,16,2,80,2,0,0.0
1,200,1,2,1,64,4,0,0.0
1,1,2,64,40,2,10,0,0.0
1,4,4,50,16,4,2,0,0.0
1,1,320,5,16,2,2,0,0.0
1,2,2,40,10,32,2,0,0.0
0,1,5,80,4,1,64,0,0.0
1,1,5,80,8,4,8,0,0.0
1,5,1,160,2,1,64,0,0.0
1,1,5,32,2,16,20,0,0.0
1,1,320,1,1,160,2,0,0.0
0,20,4,4,20,1,16,0,0.0
1,25,2,32,8,2,4,0,0.0
1,1,100,8,2,32,2,0,0.0
1,4,1,100,1,4,64,0,0.0
