kernel,gx,gy,gz,bx,by,bz,funcId,smefficiency 
0,80,4,10,32,1,1,60,70.67
1,80,4,10,32,1,1,60,97.14 
0,80,5,8,32,1,1,60,70.03
1,80,5,8,32,1,1,60,98.08 
0,80,8,5,32,1,1,60,70.39
1,80,8,5,32,1,1,60,97.29 
0,80,10,4,32,1,1,60,68.51
1,80,10,4,32,1,1,60,97.32 
0,80,20,2,32,1,1,60,71.17
1,80,20,2,32,1,1,60,97.65 
0,80,40,1,32,1,1,52,71.85
1,80,40,1,32,1,1,52,97.39 
0,100,1,32,32,1,1,44,70.62
1,100,1,32,32,1,1,44,97.9 
0,100,2,16,32,1,1,60,70.15
1,100,2,16,32,1,1,60,97.22 
0,100,4,8,32,1,1,60,71.19
1,100,4,8,32,1,1,60,97.51 
0,100,8,4,32,1,1,60,71.49
1,100,8,4,32,1,1,60,97.46 
0,100,16,2,32,1,1,60,69.46
1,100,16,2,32,1,1,60,97.03 
0,100,32,1,32,1,1,52,71.28
1,100,32,1,32,1,1,52,97.28 
0,128,1,25,32,1,1,44,71.46
1,128,1,25,32,1,1,44,97.4 
0,128,5,5,32,1,1,60,70.65
1,128,5,5,32,1,1,60,97.15 
0,128,25,1,32,1,1,52,71.39
1,128,25,1,32,1,1,52,97.04 
0,160,1,20,32,1,1,44,71.49
1,160,1,20,32,1,1,44,97.29 
0,160,2,10,32,1,1,60,71.02
1,160,2,10,32,1,1,60,98.55 
0,160,4,5,32,1,1,60,69.61
1,160,4,5,32,1,1,60,97.34 
0,160,5,4,32,1,1,60,70.97
1,160,5,4,32,1,1,60,97.74 
0,160,10,2,32,1,1,60,68.02
1,160,10,2,32,1,1,60,97.92 
0,160,20,1,32,1,1,52,70.95
1,160,20,1,32,1,1,52,97.45 
0,200,1,16,32,1,1,44,70.37
1,200,1,16,32,1,1,44,97.92 
0,200,2,8,32,1,1,60,70.56
1,200,2,8,32,1,1,60,97.56 
0,200,4,4,32,1,1,60,69.15
1,200,4,4,32,1,1,60,97.14 
0,200,8,2,32,1,1,60,68.19
1,200,8,2,32,1,1,60,97.52 
0,200,16,1,32,1,1,52,70.86
1,200,16,1,32,1,1,52,97.04 
0,320,1,10,32,1,1,44,71.1
1,320,1,10,32,1,1,44,97.41 
0,320,2,5,32,1,1,60,70.42
1,320,2,5,32,1,1,60,97.43 
0,320,5,2,32,1,1,60,71.15
1,320,5,2,32,1,1,60,97.17 
0,320,10,1,32,1,1,52,70.77
1,320,10,1,32,1,1,52,97.72 
0,400,1,8,32,1,1,44,72.33
1,400,1,8,32,1,1,44,98.06 
0,400,2,4,32,1,1,60,71.52
1,400,2,4,32,1,1,60,97.55 
0,400,4,2,32,1,1,60,72.03
1,400,4,2,32,1,1,60,97.38 
0,400,8,1,32,1,1,52,71.38
1,400,8,1,32,1,1,52,97.04 
0,640,1,5,32,1,1,44,72.41
1,640,1,5,32,1,1,44,97.61 
0,640,5,1,32,1,1,52,72.49
1,640,5,1,32,1,1,52,97.49 
0,800,1,4,32,1,1,44,72.39
1,800,1,4,32,1,1,44,97.65 
0,800,2,2,32,1,1,60,71.77
1,800,2,2,32,1,1,60,97.31 
0,800,4,1,32,1,1,52,73.13
1,800,4,1,32,1,1,52,97.83 
0,1600,1,2,32,1,1,44,72.61
1,1600,1,2,32,1,1,44,97.07 
0,1600,2,1,32,1,1,52,73.29
1,1600,2,1,32,1,1,52,97.49 
0,3200,1,1,32,1,1,36,74.11
1,3200,1,1,32,1,1,36,97.09 
0,1,1,1600,64,1,1,12,71.46
1,1,1,1600,64,1,1,12,92.48 
0,1,2,800,64,1,1,28,71.52
1,1,2,800,64,1,1,28,91.5 
0,1,4,400,64,1,1,28,70.3
1,1,4,400,64,1,1,28,93.12 
0,1,5,320,64,1,1,28,70.79
1,1,5,320,64,1,1,28,92.38 
0,1,8,200,64,1,1,28,66.92
1,1,8,200,64,1,1,28,92.36 
0,1,10,160,64,1,1,28,71.91
1,1,10,160,64,1,1,28,92.48 
0,1,16,100,64,1,1,28,69.84
1,1,16,100,64,1,1,28,91.24 
0,1,20,80,64,1,1,28,71.56
1,1,20,80,64,1,1,28,91.86 
0,1,25,64,64,1,1,28,71.08
1,1,25,64,64,1,1,28,93.15 
0,1,32,50,64,1,1,28,71.3
1,1,32,50,64,1,1,28,93.08 
0,1,40,40,64,1,1,28,71.2
1,1,40,40,64,1,1,28,93.31 
0,1,50,32,64,1,1,28,71.36
1,1,50,32,64,1,1,28,90.82 
0,1,64,25,64,1,1,28,70.14
1,1,64,25,64,1,1,28,93.05 
0,1,80,20,64,1,1,28,71.26
1,1,80,20,64,1,1,28,91.31 
0,1,100,16,64,1,1,28,70.1
1,1,100,16,64,1,1,28,93.3 
0,1,160,10,64,1,1,28,71.95
1,1,160,10,64,1,1,28,92.32 
0,1,200,8,64,1,1,28,71.7
1,1,200,8,64,1,1,28,93.52 
