gx,gy,gz,bx,by,bz,funcId,smefficiency 
512,2,1,256,1,1,52,11.18 
1024,1,1,256,1,1,36,11.18 
1,1,512,512,1,1,12,5.77 
1,2,256,512,1,1,28,5.78 
1,4,128,512,1,1,28,5.79 
1,8,64,512,1,1,28,5.81 
1,16,32,512,1,1,28,5.78 
1,32,16,512,1,1,28,5.8 
1,64,8,512,1,1,28,5.78 
1,128,4,512,1,1,28,5.78 
1,256,2,512,1,1,28,5.78 
1,512,1,512,1,1,20,5.79 
2,1,256,512,1,1,44,5.81 
2,2,128,512,1,1,60,5.79 
2,4,64,512,1,1,60,5.78 
2,8,32,512,1,1,60,5.77 
2,16,16,512,1,1,60,5.77 
2,32,8,512,1,1,60,5.78 
2,64,4,512,1,1,60,5.78 
2,128,2,512,1,1,60,5.79 
2,256,1,512,1,1,52,5.78 
4,1,128,512,1,1,44,5.78 
4,2,64,512,1,1,60,5.78 
4,4,32,512,1,1,60,5.78 
4,8,16,512,1,1,60,5.79 
4,16,8,512,1,1,60,5.75 
4,32,4,512,1,1,60,5.79 
4,64,2,512,1,1,60,5.78 
4,128,1,512,1,1,52,5.78 
8,1,64,512,1,1,44,5.79 
8,2,32,512,1,1,60,5.79 
8,4,16,512,1,1,60,5.79 
8,8,8,512,1,1,60,5.79 
8,16,4,512,1,1,60,5.79 
8,32,2,512,1,1,60,5.8 
8,64,1,512,1,1,52,5.8 
16,1,32,512,1,1,44,5.8 
16,2,16,512,1,1,60,5.79 
16,4,8,512,1,1,60,5.79 
16,8,4,512,1,1,60,5.78 
16,16,2,512,1,1,60,5.8 
16,32,1,512,1,1,52,5.8 
32,1,16,512,1,1,44,5.8 
32,2,8,512,1,1,60,5.79 
32,4,4,512,1,1,60,5.79 
32,8,2,512,1,1,60,5.79 
32,16,1,512,1,1,52,5.78 
64,1,8,512,1,1,44,5.78 
64,2,4,512,1,1,60,5.79 
64,4,2,512,1,1,60,5.79 
64,8,1,512,1,1,52,5.78 
128,1,4,512,1,1,44,5.78 
128,2,2,512,1,1,60,5.78 
128,4,1,512,1,1,52,5.78 
256,1,2,512,1,1,44,5.79 
256,2,1,512,1,1,52,5.76 
512,1,1,512,1,1,36,5.77 
1,1,256,1024,1,1,12,5.76 
1,2,128,1024,1,1,28,5.77 
1,4,64,1024,1,1,28,5.76 
1,8,32,1024,1,1,28,5.76 
1,16,16,1024,1,1,28,5.77 
1,32,8,1024,1,1,28,5.76 
1,64,4,1024,1,1,28,5.78 
1,128,2,1024,1,1,28,5.78 
1,256,1,1024,1,1,20,5.78 
2,1,128,1024,1,1,44,5.77 
2,2,64,1024,1,1,60,5.77 
2,4,32,1024,1,1,60,5.77 
2,8,16,1024,1,1,60,5.74 
2,16,8,1024,1,1,60,5.77 
2,32,4,1024,1,1,60,5.76 
2,64,2,1024,1,1,60,5.76 
2,128,1,1024,1,1,52,5.76 
4,1,64,1024,1,1,44,5.77 
4,2,32,1024,1,1,60,5.75 
4,4,16,1024,1,1,60,5.76 
4,8,8,1024,1,1,60,5.77 
4,16,4,1024,1,1,60,5.77 
4,32,2,1024,1,1,60,5.77 
4,64,1,1024,1,1,52,5.76 
8,1,32,1024,1,1,44,5.76 
8,2,16,1024,1,1,60,5.76 
8,4,8,1024,1,1,60,5.77 
8,8,4,1024,1,1,60,5.78 
8,16,2,1024,1,1,60,5.76 
8,32,1,1024,1,1,52,5.78 
16,1,16,1024,1,1,44,5.79 
16,2,8,1024,1,1,60,5.77 
16,4,4,1024,1,1,60,5.77 
16,8,2,1024,1,1,60,5.76 
16,16,1,1024,1,1,52,5.77 
32,1,8,1024,1,1,44,5.76 
32,2,4,1024,1,1,60,5.77 
32,4,2,1024,1,1,60,5.79 
32,8,1,1024,1,1,52,5.77 
64,1,4,1024,1,1,44,5.77 
64,2,2,1024,1,1,60,5.77 
64,4,1,1024,1,1,52,5.77 
128,1,2,1024,1,1,44,5.77 
128,2,1,1024,1,1,52,5.77 
256,1,1,1024,1,1,36,5.77 
1,1,8192,16,2,1,14,57.58 
1,2,4096,16,2,1,30,58.13 
1,4,2048,16,2,1,30,57.71 
1,8,1024,16,2,1,30,58.16 
1,16,512,16,2,1,30,58.05 
1,32,256,16,2,1,30,57.89 
1,64,128,16,2,1,30,57.66 
1,128,64,16,2,1,30,58.13 
1,256,32,16,2,1,30,57.52 
1,512,16,16,2,1,30,58.05 
1,1024,8,16,2,1,30,58.04 
1,2048,4,16,2,1,30,58.0 
1,4096,2,16,2,1,30,57.77 
1,8192,1,16,2,1,22,58.17 
2,1,4096,16,2,1,46,57.94 
2,2,2048,16,2,1,62,58.03 
2,4,1024,16,2,1,62,57.94 
2,8,512,16,2,1,62,58.01 
2,16,256,16,2,1,62,57.89 
2,32,128,16,2,1,62,57.99 
2,64,64,16,2,1,62,58.29 
2,128,32,16,2,1,62,57.98 
2,256,16,16,2,1,62,58.15 
2,512,8,16,2,1,62,58.57 
2,1024,4,16,2,1,62,57.82 
2,2048,2,16,2,1,62,57.89 
2,4096,1,16,2,1,54,58.04 
4,1,2048,16,2,1,46,58.06 
4,2,1024,16,2,1,62,57.81 
4,4,512,16,2,1,62,58.31 
4,8,256,16,2,1,62,58.3 
4,16,128,16,2,1,62,57.83 
4,32,64,16,2,1,62,58.26 
4,64,32,16,2,1,62,58.38 
4,128,16,16,2,1,62,58.15 
4,256,8,16,2,1,62,58.28 
4,512,4,16,2,1,62,58.07 
4,1024,2,16,2,1,62,58.34 
4,2048,1,16,2,1,54,58.01 
8,1,1024,16,2,1,46,58.04 
8,2,512,16,2,1,62,57.6 
8,4,256,16,2,1,62,58.15 
8,8,128,16,2,1,62,58.18 
8,16,64,16,2,1,62,58.11 
8,32,32,16,2,1,62,58.0 
8,64,16,16,2,1,62,58.44 
8,128,8,16,2,1,62,58.07 
8,256,4,16,2,1,62,58.06 
8,512,2,16,2,1,62,57.9 
8,1024,1,16,2,1,54,57.85 
16,1,512,16,2,1,46,57.82 
16,2,256,16,2,1,62,58.13 
16,4,128,16,2,1,62,58.26 
16,8,64,16,2,1,62,57.83 
16,16,32,16,2,1,62,57.88 
16,32,16,16,2,1,62,58.13 
16,64,8,16,2,1,62,58.13 
16,128,4,16,2,1,62,58.03 
