gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,8,8,4,8,1,0,13.7 
2,16,4,4,8,1,0,13.56 
2,32,2,4,8,1,0,13.66 
2,64,1,4,8,1,0,13.49 
4,1,32,4,8,1,0,13.48 
4,2,16,4,8,1,0,13.5 
4,4,8,4,8,1,0,13.23 
4,8,4,4,8,1,0,13.21 
4,16,2,4,8,1,0,13.19 
4,32,1,4,8,1,0,13.11 
8,1,16,4,8,1,0,13.48 
8,2,8,4,8,1,0,13.48 
8,4,4,4,8,1,0,13.68 
8,8,2,4,8,1,0,13.55 
8,16,1,4,8,1,0,13.46 
16,1,8,4,8,1,0,13.52 
16,2,4,4,8,1,0,13.7 
16,4,2,4,8,1,0,13.72 
16,8,1,4,8,1,0,13.49 
32,1,4,4,8,1,0,13.5 
32,2,2,4,8,1,0,13.65 
32,4,1,4,8,1,0,13.15 
64,1,2,4,8,1,0,13.01 
64,2,1,4,8,1,0,13.54 
128,1,1,4,8,1,0,13.36 
1,1,64,8,8,1,0,9.64 
1,2,32,8,8,1,0,9.32 
1,4,16,8,8,1,0,9.43 
1,8,8,8,8,1,0,9.41 
1,16,4,8,8,1,0,9.43 
1,32,2,8,8,1,0,9.43 
1,64,1,8,8,1,0,9.38 
2,1,32,8,8,1,0,9.52 
2,2,16,8,8,1,0,9.7 
2,4,8,8,8,1,0,9.65 
2,8,4,8,8,1,0,9.69 
2,16,2,8,8,1,0,9.71 
2,32,1,8,8,1,0,9.58 
4,1,16,8,8,1,0,9.5 
4,2,8,8,8,1,0,9.41 
4,4,4,8,8,1,0,9.5 
4,8,2,8,8,1,0,9.44 
4,16,1,8,8,1,0,9.44 
8,1,8,8,8,1,0,10.19 
8,2,4,8,8,1,0,9.49 
8,4,2,8,8,1,0,9.52 
8,8,1,8,8,1,0,10.33 
16,1,4,8,8,1,0,9.26 
16,2,2,8,8,1,0,9.72 
16,4,1,8,8,1,0,9.38 
32,1,2,8,8,1,0,9.57 
32,2,1,8,8,1,0,9.57 
64,1,1,8,8,1,0,9.41 
1,1,32,16,8,1,0,11.25 
1,2,16,16,8,1,0,9.47 
1,4,8,16,8,1,0,10.16 
1,8,4,16,8,1,0,10.26 
1,16,2,16,8,1,0,9.23 
1,32,1,16,8,1,0,9.48 
2,1,16,16,8,1,0,9.29 
2,2,8,16,8,1,0,9.35 
