Kernel,gx,gy,gz,bx,by,bz,gpuId,efficiency-warp-execution 
 0, 12,  3,  1,  16,  8,  2, 0,100.0 
 0, 1,  2,  72,  1,  8,  8, 0,100.0 
 1, 8,  1,  2,  96,  6,  1, 1,100.0 
 1, 4,  4,  2,  4,  72,  1, 1,100.0 
 1, 48,  1,  1,  16,  4,  3, 1,100.0 
 0, 9,  1,  1,  256,  1,  4, 0,100.0 
 1, 2,  16,  1,  2,  24,  6, 1,100.0 
 0, 6,  1,  16,  8,  3,  4, 0,100.0 
 0, 1,  8,  4,  16,  6,  3, 0,100.0 
 1, 1,  12,  2,  32,  2,  6, 1,100.0 
 0, 3,  1,  96,  8,  2,  2, 1,100.0 
 1, 1,  4,  8,  24,  6,  2, 1,100.0 
 0, 1,  6,  2,  48,  8,  2, 0,100.0 
 0, 2,  6,  4,  1,  3,  64, 0,100.0 
 0, 1,  6,  4,  6,  8,  8, 1,100.0 
 1, 1,  6,  4,  8,  16,  3, 1,100.0 
 0, 6,  2,  2,  6,  8,  8, 0,100.0 
 0, 9,  16,  2,  2,  8,  2, 0,100.0 
 1, 12,  3,  2,  2,  32,  2, 1,100.0 
 1, 6,  2,  4,  8,  3,  8, 1,100.0 
 1, 2,  2,  8,  12,  12,  2, 0,100.0 
 1, 4,  3,  2,  6,  16,  4, 1,100.0 
 1, 1,  24,  4,  3,  1,  32, 0,100.0 
 1, 8,  4,  3,  1,  4,  24, 1,100.0 
 0, 1,  6,  4,  32,  2,  6, 0,100.0 
 0, 18,  1,  16,  8,  1,  4, 0,100.0 
 0, 1,  2,  12,  12,  16,  2, 0,100.0 
 1, 4,  2,  4,  9,  4,  8, 1,100.0 
 0, 4,  1,  6,  64,  1,  6, 0,100.0 
 0, 4,  6,  2,  12,  2,  8, 1,100.0 
 0, 1,  2,  72,  2,  2,  16, 0,100.0 
 1, 1,  16,  2,  12,  1,  24, 1,100.0 
 0, 4,  24,  3,  2,  1,  16, 1,100.0 
 1, 2,  4,  4,  3,  24,  4, 0,100.0 
 0, 2,  1,  6,  1,  768,  1, 1,100.0 
 1, 2,  3,  2,  12,  64,  1, 1,100.0 
 0, 3,  4,  3,  2,  16,  8, 0,100.0 
 0, 12,  1,  12,  16,  2,  2, 0,100.0 
 0, 4,  6,  1,  8,  4,  12, 0,100.0 
 1, 1,  16,  1,  9,  8,  8, 1,100.0 
 0, 36,  1,  8,  16,  2,  1, 0,100.0 
 1, 3,  1,  24,  2,  4,  16, 1,100.0 
 0, 6,  4,  12,  1,  32,  1, 1,100.0 
 1, 4,  1,  3,  24,  4,  8, 1,100.0 
 0, 3,  3,  32,  8,  2,  2, 0,100.0 
 0, 1,  9,  1,  64,  4,  4, 0,100.0 
 0, 1,  16,  3,  1,  8,  24, 0,100.0 
 1, 36,  1,  8,  1,  16,  2, 1,100.0 
 1, 9,  2,  16,  4,  1,  8, 1,100.0 
 1, 9,  1,  4,  2,  128,  1, 0,100.0 
 0, 1,  8,  4,  24,  4,  3, 0,100.0 
 1, 1,  1,  16,  32,  18,  1, 1,100.0 
 0, 18,  2,  4,  2,  2,  16, 0,100.0 
 0, 1,  12,  2,  1,  12,  32, 0,100.0 
 0, 6,  3,  1,  2,  16,  16, 0,100.0 
 1, 8,  1,  3,  32,  6,  2, 1,100.0 
 0, 16,  2,  3,  2,  3,  16, 0,100.0 
 1, 2,  4,  3,  32,  4,  3, 1,100.0 
 1, 2,  1,  8,  8,  9,  8, 1,100.0 
 1, 2,  6,  8,  48,  1,  2, 1,100.0 
 1, 9,  4,  8,  4,  4,  2, 1,100.0 
 0, 36,  2,  1,  2,  64,  1, 0,100.0 
 0, 1,  16,  1,  4,  72,  2, 0,100.0 
 0, 1,  2,  48,  6,  8,  2, 0,100.0 
 1, 18,  16,  1,  8,  1,  4, 1,100.0 
 0, 4,  1,  4,  9,  1,  64, 0,100.0 
 1, 9,  1,  2,  512,  1,  1, 1,100.0 
 1, 6,  4,  1,  4,  24,  4, 1,100.0 
 1, 1,  8,  2,  2,  24,  12, 0,100.0 
 1, 12,  1,  8,  16,  1,  6, 1,100.0 
 0, 4,  9,  4,  16,  1,  4, 0,100.0 
 0, 9,  2,  4,  2,  64,  1, 0,100.0 
 0, 1,  4,  3,  2,  12,  32, 0,100.0 
 1, 16,  1,  1,  144,  2,  2, 1,100.0 
 0, 72,  1,  4,  2,  8,  2, 0,100.0 
 0, 12,  2,  1,  2,  12,  16, 0,100.0 
 0, 3,  3,  4,  16,  8,  2, 0,100.0 
 1, 2,  9,  1,  16,  1,  32, 1,100.0 
 0, 1,  24,  12,  1,  32,  1, 1,100.0 
 1, 4,  2,  2,  4,  16,  9, 1,100.0 
