Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
1,1,11,16,176,2,2,0,12.5
1,22,8,22,1,16,2,0,12.5
1,44,1,22,128,1,1,0,12.5
1,2,242,4,8,4,2,0,12.5
1,121,1,4,1,4,64,0,12.5
1,11,1,16,1,16,44,0,12.5
1,16,2,11,11,2,16,0,12.5
0,2,4,22,4,88,2,0,90.28
1,2,8,22,4,44,2,0,12.5
0,22,1,44,1,32,4,0,90.28
1,44,1,22,1,16,8,0,12.5
1,88,11,1,64,2,1,0,12.5
1,11,4,8,4,4,22,0,12.5
1,2,16,11,11,1,32,0,12.5
1,2,1,484,4,4,8,0,12.5
1,2,242,4,8,2,4,0,12.5
1,4,2,242,64,1,1,0,12.5
1,4,11,88,2,4,4,0,12.5
1,8,121,4,4,1,8,0,12.5
0,4,22,4,44,2,4,0,90.28
1,1,484,8,2,1,16,0,12.5
1,484,1,8,2,2,8,0,12.5
1,2,2,88,16,2,11,0,12.5
1,4,22,11,1,64,2,0,12.5
1,4,11,8,8,22,2,0,12.5
1,1,44,8,2,11,16,0,12.5
1,44,4,1,64,1,11,0,12.5
1,11,352,1,32,1,1,0,12.5
1,1,88,2,2,88,4,0,12.5
1,11,11,2,4,4,32,0,12.5
0,121,4,1,2,8,16,0,90.28
1,4,1,44,16,22,2,0,12.5
1,1,44,4,88,8,1,0,12.5
1,22,4,4,4,11,8,0,12.5
1,11,32,11,8,2,2,0,12.5
1,11,1,352,2,16,1,0,12.5
1,176,11,1,32,1,2,0,12.5
1,11,88,4,8,1,4,0,12.5
1,2,8,242,2,16,1,0,12.5
0,4,484,2,1,4,8,0,90.28
1,8,4,11,1,32,11,0,12.5
1,44,1,4,88,4,2,0,12.5
1,4,22,44,2,2,8,0,12.5
1,484,8,1,1,8,4,0,12.5
1,484,8,1,16,1,2,0,12.5
1,4,44,2,1,32,11,0,12.5
1,242,1,2,16,8,2,0,12.5
1,11,11,32,4,1,8,0,12.5
