Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
0,1,8,128,4,16,1,0,0.77871
0,8,4,2,4,64,4,0,1.037144
0,64,2,1,2,128,2,0,0.945513
1,512,2,1,2,4,8,0,0.045915
1,1,32,2,4,256,1,0,0.047873
1,128,1,4,8,2,8,0,0.046966
1,8,256,1,4,1,8,0,0.047416
1,8,8,16,4,4,4,0,0.047009
1,16,8,1,16,8,4,0,0.047401
1,8,2,32,32,4,1,0,0.045875
1,2,256,4,2,16,1,0,0.048903
0,512,1,1,4,4,8,0,0.815199
1,32,2,4,128,2,1,0,0.047403
0,64,2,4,1,16,8,0,0.840174
1,8,8,4,128,1,2,0,0.047532
1,32,1,16,16,8,1,0,0.046496
1,4,4,4,64,16,1,0,0.047922
1,4,4,8,32,1,16,0,0.047606
1,1,64,4,64,1,4,0,0.046394
1,4,16,4,4,64,1,0,0.047321
1,64,1,1,64,1,16,0,0.047325
1,256,1,2,2,4,16,0,0.046416
1,1,512,2,1,8,8,0,0.046104
1,16,2,4,128,2,2,0,0.047408
0,32,1,4,2,4,64,0,1.032253
1,2,2,32,2,64,4,0,0.047058
1,1,4,32,1,128,4,0,0.047749
1,2,4,8,128,4,2,0,0.046701
1,4,2,16,4,2,64,0,0.046251
1,32,1,2,4,256,1,0,0.047389
1,512,1,1,8,1,16,0,0.047129
1,2,1,1024,8,1,4,0,0.047217
1,16,1,16,8,32,1,0,0.046746
0,16,1,8,1,64,8,0,0.988462
1,2,32,1,2,256,2,0,0.048471
0,8,128,1,1,2,32,0,0.872983
1,2,8,128,16,1,2,0,0.048
1,32,64,1,1,16,2,0,0.082472
1,64,4,8,8,2,2,0,0.046999
1,8,64,2,1,32,2,0,0.046015
1,1,128,1,128,4,1,0,0.047237
1,1,8,64,16,2,4,0,0.046877
1,2,8,4,8,16,8,0,0.046761
1,1,16,8,2,32,8,0,0.046933
1,256,2,4,8,2,2,0,0.047844
1,1,128,8,32,1,2,0,0.046013
1,64,2,4,2,64,1,0,0.046356
1,32,4,2,32,4,2,0,0.04783
1,1,4,16,512,1,2,0,0.047075
1,8,64,2,1,16,4,0,0.047353
1,16,4,4,8,16,2,0,0.047368
1,4,8,16,4,32,1,0,0.04597
1,4,4,16,256,1,1,0,0.047351
0,1,2,32,64,8,2,0,1.049036
0,128,1,8,2,2,16,0,0.844985
1,32,1,8,16,2,8,0,0.047031
1,32,1,32,2,32,1,0,0.046543
1,1,128,2,16,2,8,0,0.046912
1,2,1,256,32,1,4,0,0.046266
1,32,2,1,512,1,2,0,0.046855
1,16,32,2,8,1,8,0,0.047527
1,2,16,2,1,128,8,0,0.046858
1,64,1,1,512,1,2,0,0.047259
1,16,1,128,4,4,2,0,0.048121
0,1,128,8,8,8,1,0,0.76412
1,32,16,4,8,4,1,0,0.047895
1,32,2,4,8,4,8,0,0.046866
1,1,2,64,1,8,64,0,0.046595
1,32,1,16,8,1,16,0,0.046528
1,128,2,4,1,32,2,0,0.046494
1,8,1,8,2,128,4,0,0.047297
1,8,2,64,2,1,32,0,0.046506
1,512,4,1,16,2,1,0,0.047661
0,8,2,8,1,512,1,0,0.883433
0,256,1,2,4,32,1,0,0.804317
1,8,16,2,8,4,8,0,0.046428
1,8,16,1,4,32,4,0,0.047402
1,8,8,8,8,8,2,0,0.046696
1,1,8,64,2,64,1,0,0.04644
1,1,32,16,2,2,32,0,0.046367
1,16,64,2,1,4,8,0,0.047802
1,1,128,8,32,2,1,0,0.046483
1,4,4,32,16,1,8,0,0.046163
0,4,128,1,4,1,32,0,0.81249
0,8,8,8,1,4,32,0,0.861402
0,128,1,16,1,32,1,0,0.670341
1,128,1,4,16,2,4,0,0.045904
1,1,128,1,32,8,2,0,0.046335
1,2,8,4,64,1,16,0,0.047332
