Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,2,5,32,2,4,40,0,5.72
1,4,80,1,2,8,20,0,3.17
1,8,20,2,1,40,8,0,5.7
1,1,4,25,1,1024,1,0,9.03
1,2,80,2,8,5,8,0,4.92
0,1,5,32,8,80,1,0,31.23
0,2,80,2,4,8,10,0,30.48
1,5,2,320,4,4,2,0,3.18
1,5,32,1,1,64,10,0,9.69
1,1,320,2,8,2,10,0,3.11
0,1,160,5,32,1,4,0,33.08
1,100,4,1,1,8,32,0,7.01
1,10,8,8,5,32,1,0,4.4
0,320,2,1,2,8,10,0,31.46
1,1,2,64,5,40,4,0,6.35
1,2,10,5,16,1,64,0,11.41
1,5,32,10,2,32,1,0,6.16
1,16,1,40,1,40,4,0,5.28
1,2,20,4,4,32,5,0,4.9
1,32,1,10,8,5,8,0,3.21
1,4,2,400,4,4,2,0,3.91
0,40,2,8,4,20,2,0,31.29
1,4,2,200,64,1,1,0,5.91
1,2,50,16,8,1,8,0,6.54
1,80,1,4,1,8,40,0,4.74
1,1,200,4,2,16,4,0,5.48
1,1,16,10,1,40,16,0,7.24
1,1,4,160,40,2,2,0,3.95
1,8,2,20,20,1,16,0,5.14
1,10,2,8,8,10,8,0,7.38
1,16,5,4,2,80,2,0,4.83
1,16,40,5,8,1,4,0,3.04
1,2,16,4,100,4,2,0,6.07
1,4,5,5,4,256,1,0,10.76
1,4,5,20,8,32,1,0,9.58
1,8,25,2,1,16,16,0,9.44
1,1,20,16,8,5,8,0,6.1
1,50,1,2,512,1,2,0,11.06
0,5,2,20,1,16,32,0,30.89
0,4,5,10,16,16,2,0,30.77
0,40,2,20,4,16,1,0,31.63
1,5,2,20,1,128,4,0,11.44
1,1,20,32,2,40,2,0,3.63
1,1,160,5,2,1,64,0,6.41
1,10,40,4,8,1,8,0,5.2
1,5,16,4,1,5,64,0,3.53
1,2,32,5,5,1,64,0,4.78
1,20,4,20,8,8,1,0,5.38
1,32,20,1,2,5,16,0,3.71
1,2,200,1,4,32,2,0,8.01
1,10,2,32,2,8,10,0,3.77
1,1,32,4,400,2,1,0,6.32
1,80,1,2,1,64,10,0,5.82
0,4,20,8,4,20,2,0,29.76
1,8,5,8,5,16,4,0,5.58
1,8,1,20,2,40,8,0,6.3
1,5,2,20,2,256,1,0,10.95
1,20,1,32,5,2,16,0,4.23
1,4,5,32,40,1,4,0,2.59
1,5,80,2,4,2,16,0,7.26
1,16,10,1,10,1,64,0,7.33
1,1,160,1,1,128,5,0,7.18
1,1,20,80,1,2,32,0,5.84
1,8,50,8,8,1,4,0,3.63
0,1,64,50,1,2,16,0,30.96
1,5,8,4,4,80,2,0,6.29
1,4,2,25,16,8,4,0,12.03
1,4,4,100,8,1,8,0,6.62
1,1,80,8,20,2,4,0,4.89
1,20,2,8,1,80,4,0,5.6
