gx,gy,gz,bx,by,bz,smefficiency
1,8,32,128,4,2,10.24
2,8,256,1,16,4,67.27
8,32,16,4,8,2,67.31
2,1,128,2,32,16,10.25
1,8,128,128,1,2,19.09
16,4,8,16,1,32,10.21
32,2,4,32,8,4,10.22
4,16,64,1,2,32,67.27
32,2,8,1,64,8,10.2
1,128,4,32,4,4,10.21
64,2,4,8,1,64,10.22
32,4,2,256,2,2,10.23
64,8,1,1,32,16,10.22
8,4,16,1,64,8,10.19
2,128,32,4,2,4,98.84
2,64,16,2,1,64,35.15
16,2,16,4,16,8,10.2
4,512,1,2,1,64,35.13
64,2,2,2,64,8,10.23
64,1,4,64,4,4,10.26
1,1,4096,2,4,8,67.23
128,1,4,32,1,16,10.22
16,4,4,4,64,4,10.22
1,16,128,64,1,2,35.16
8,2,128,1,8,16,35.15
1,1024,1,8,2,16,19.08
16,4,4,256,1,4,10.24
512,1,4,8,2,8,35.17
4,16,8,128,2,2,10.21
2,4,32,4,64,4,10.23
8,32,8,64,1,2,35.17
2,128,2,16,1,32,10.22
8,256,4,4,8,1,98.75
2,1024,1,8,8,2,35.21
1,4096,1,8,1,8,67.28
16,16,4,1,16,16,19.08
32,32,1,32,8,1,19.06
2,2,512,8,2,8,35.2
2,1,128,1,256,4,10.24
128,1,2,256,2,2,10.25
1,128,8,1,4,64,19.02
2,4,64,16,2,16,10.2
2,32,16,4,16,4,19.1
4,2,32,64,1,16,10.24
128,1,16,2,2,32,35.23
16,1,32,16,32,1,10.19
64,1,8,2,32,8,10.22
1,32,8,1,16,64,10.21
64,16,8,16,1,2,98.65
2,2,512,1,4,32,35.11
4,2048,1,1,1,32,98.78
1,512,2,8,2,16,19.15
8,4,8,16,2,32,10.22
4,2,64,2,32,8,10.21
8,4,64,1,128,1,35.15
16,1,64,1,128,2,19.1
16,16,32,4,8,1,98.8
64,8,2,16,4,4,19.1
2,4,64,16,16,2,10.21
64,32,1,8,16,1,35.16
4,128,1,16,4,8,10.21
2,256,1,4,128,1,10.19
4,64,16,8,4,2,67.3
4,256,1,32,8,1,19.07
16,32,2,32,1,8,19.11
1024,4,1,1,4,16,67.83
16,64,2,8,16,1,35.17
32,2,8,8,1,64,10.22
4,2,32,512,2,1,10.21
2,128,1,2,256,2,10.23
2,8,16,8,16,8,10.23
4,2,256,16,2,4,35.16
2,64,4,2,4,64,10.21
16,8,64,1,32,1,98.89
4,1,64,64,8,2,10.24
32,32,2,128,1,1,35.1
2,2,1024,16,1,4,67.25
128,16,1,4,16,2,35.18
4,16,4,32,1,32,10.23
8,1,64,2,128,2,10.23
1,256,2,4,8,16,10.21
1024,1,1,2,4,32,19.05
4,512,2,4,2,8,67.28
1,1,2048,32,1,4,35.11
1,8192,1,8,1,4,98.73
1,512,1,8,8,8,10.22
64,4,4,8,2,16,19.12
32,16,4,1,32,4,35.15
1,64,128,2,2,8,98.73
64,32,1,1,8,16,37.02
64,4,16,4,2,8,67.31
1,8,128,1,32,8,19.07
256,1,1,8,32,4,10.22
16,32,2,2,128,1,19.11
64,32,1,1,4,32,36.86
64,1,32,1,32,4,35.17
4,1,1024,4,1,16,67.26
64,1,128,2,2,8,98.92
512,1,4,1,16,8,35.17
32,128,2,16,2,1,98.76
16,32,1,128,4,1,10.2
4,512,2,1,64,1,67.22
2,32,4,16,8,8,10.22
2,32,32,2,2,32,35.21
128,8,1,32,1,8,19.08
128,1,4,16,16,2,10.22
2,512,2,8,4,4,35.17
128,2,4,16,4,4,19.08
2,512,1,1,4,64,21.54
8,4,16,8,4,16,10.21
8,512,2,1,2,16,98.77
32,128,2,1,2,16,98.84
128,2,4,16,2,8,19.08
8192,1,1,8,2,2,98.77
64,16,8,8,4,1,98.81
4,1,128,2,32,8,10.22
2,32,64,8,1,8,67.24
4,32,32,8,4,2,67.29
2048,1,4,8,4,1,98.82
32,64,2,2,8,4,67.35
2,256,1,4,16,8,10.21
8,4,16,128,1,4,10.21
16,32,8,32,1,2,67.27
32,8,2,64,2,4,10.2
1,16,32,4,64,2,10.21
