Kernel,gx,gy,gz,bx,by,bz,gpuId,inst_per_warp
0,14,4,7,4,1,32,1,100.0
0,4,56,1,32,7,1,1,96.0
0,1,28,8,14,8,2,1,104.0
0,14,1,7,64,1,8,1,96.0
1,1,28,8,4,7,8,1,15947.0
0,1568,1,1,1,1,32,1,88.0
0,2,1,784,8,4,1,1,96.0
0,2,4,14,32,2,7,1,104.0
0,8,49,2,1,8,8,1,100.0
0,8,7,7,128,1,1,1,96.0
0,1,56,4,56,4,1,1,96.0
0,7,4,14,1,8,16,1,100.0
0,2,98,2,2,32,2,1,104.0
1,2,4,14,14,1,32,1,15943.0
0,4,8,7,14,1,16,1,100.0
0,14,1,28,128,1,1,1,92.0
0,32,7,1,112,1,2,1,96.0
0,2,4,28,16,7,2,1,104.0
0,4,2,14,2,28,8,1,104.0
0,56,1,4,2,14,8,1,104.0
0,2,7,7,8,2,32,1,104.0
0,1,2,56,56,4,2,1,104.0
0,2,7,56,1,8,8,1,100.0
1,16,14,1,16,1,14,1,15939.0
0,2,49,2,64,2,2,1,104.0
0,7,56,2,2,32,1,1,100.0
0,4,28,2,7,32,1,1,100.0
0,1,4,28,1,56,8,1,96.0
0,16,7,1,448,1,1,1,92.0
0,4,98,4,1,16,2,1,100.0
0,2,196,1,2,1,64,1,96.0
