Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency 
 0, 2,  2,  12,  3,  32,  8, 0 , 68.41 
 0, 48,  8,  1,  4,  2,  12, 0 , 69.61 
 0, 6,  2,  32,  96,  1,  1, 0 , 68.86 
 0, 4,  24,  2,  8,  8,  3, 0 , 65.55 
 1, 3,  32,  12,  8,  4,  1, 0 , 97.76 
 1, 2,  16,  4,  16,  2,  9, 0 , 93.91 
 1, 12,  8,  2,  1,  96,  2, 0 , 86.47 
 0, 4,  36,  2,  1,  4,  32, 0 , 66.65 
 0, 32,  4,  3,  1,  16,  6, 0 , 68.91 
 0, 1,  32,  3,  32,  4,  3, 0 , 67.73 
 0, 1,  64,  1,  6,  24,  4, 0 , 66.88 
 0, 3,  2,  32,  32,  1,  6, 0 , 66.79 
 0, 32,  1,  2,  24,  12,  2, 0 , 66.39 
 1, 144,  1,  1,  2,  4,  32, 0 , 86.47 
 0, 4,  9,  2,  16,  4,  8, 0 , 67.63 
 1, 1,  6,  8,  1,  32,  24, 0 , 95.57 
 0, 24,  1,  4,  16,  12,  2, 0 , 67.9 
 1, 16,  6,  3,  8,  1,  16, 0 , 87.2 
 0, 6,  6,  4,  16,  2,  8, 0 , 67.63 
 1, 24,  12,  1,  64,  1,  2, 0 , 86.85 
 0, 64,  3,  2,  4,  24,  1, 0 , 68.47 
 0, 24,  1,  4,  3,  2,  64, 0 , 67.9 
 0, 2,  18,  8,  1,  64,  2, 0 , 66.94 
 1, 1,  6,  48,  2,  4,  16, 0 , 86.94 
 0, 96,  2,  1,  6,  4,  8, 0 , 67.82 
 0, 2,  6,  16,  8,  3,  8, 0 , 67.96 
 1, 16,  1,  4,  12,  3,  16, 0 , 89.16 
 0, 1,  128,  1,  1,  96,  3, 0 , 66.23 
 0, 18,  2,  2,  2,  8,  32, 0 , 67.57 
 0, 1,  288,  1,  1,  4,  32, 0 , 65.55 
 0, 32,  6,  2,  1,  32,  3, 0 , 68.93 
 0, 2,  2,  16,  4,  4,  36, 0 , 66.2 
 1, 1,  3,  32,  48,  4,  2, 0 , 93.98 
 1, 36,  2,  2,  16,  1,  16, 0 , 96.29 
 0, 32,  1,  2,  12,  48,  1, 0 , 66.0 
 0, 24,  6,  2,  32,  1,  4, 0 , 66.03 
 0, 4,  1,  144,  1,  16,  4, 0 , 70.59 
 0, 8,  12,  2,  4,  8,  6, 0 , 67.23 
 0, 1,  32,  2,  36,  4,  4, 0 , 66.4 
 0, 4,  4,  18,  16,  2,  4, 0 , 66.56 
 1, 36,  16,  1,  4,  8,  2, 0 , 91.18 
 0, 1,  36,  32,  4,  8,  1, 0 , 75.98 
 0, 12,  16,  2,  8,  3,  4, 0 , 68.29 
 0, 1,  3,  16,  2,  12,  32, 0 , 69.3 
 1, 4,  6,  3,  4,  32,  4, 0 , 87.7 
 0, 72,  4,  1,  2,  16,  4, 0 , 67.06 
 0, 32,  3,  3,  4,  1,  32, 0 , 66.08 
 0, 16,  24,  3,  2,  8,  2, 0 , 76.19 
 1, 1,  32,  6,  96,  1,  2, 0 , 87.34 
 0, 4,  12,  1,  192,  1,  4, 0 , 68.16 
 1, 1,  4,  96,  2,  48,  1, 0 , 93.94 
 1, 6,  16,  12,  1,  2,  16, 0 , 94.12 
 0, 2,  8,  3,  1,  128,  6, 0 , 69.15 
 0, 3,  16,  2,  32,  4,  3, 0 , 67.57 
 0, 2,  48,  2,  6,  1,  32, 0 , 66.96 
 1, 6,  3,  2,  32,  1,  32, 0 , 95.84 
 1, 2,  36,  4,  64,  1,  2, 0 , 86.84 
 0, 8,  2,  4,  8,  9,  8, 0 , 66.23 
 0, 4,  24,  6,  4,  16,  1, 0 , 70.24 
 0, 24,  16,  1,  2,  24,  2, 0 , 69.1 
 0, 96,  2,  6,  1,  4,  8, 0 , 76.55 
 1, 1,  16,  9,  4,  1,  64, 0 , 87.38 
 1, 96,  6,  2,  2,  8,  2, 0 , 94.61 
 1, 32,  4,  1,  32,  9,  1, 0 , 94.31 
 0, 1,  128,  3,  16,  1,  6, 0 , 68.85 
 0, 16,  1,  4,  8,  18,  4, 0 , 66.23 
 1, 4,  8,  4,  1,  288,  1, 0 , 94.09 
 0, 6,  16,  1,  2,  4,  48, 0 , 68.09 
 0, 36,  1,  8,  32,  1,  4, 0 , 66.16 
 0, 16,  12,  3,  4,  2,  8, 0 , 70.72 
 1, 1,  64,  1,  32,  3,  6, 0 , 89.39 
 1, 8,  8,  2,  2,  24,  6, 0 , 94.25 
 0, 18,  16,  1,  16,  8,  1, 0 , 66.43 
 1, 2,  32,  1,  8,  24,  3, 0 , 90.55 
 0, 2,  2,  32,  18,  8,  2, 0 , 67.04 
 0, 2,  96,  1,  12,  8,  2, 0 , 67.95 
 0, 2,  24,  1,  24,  16,  2, 0 , 69.84 
 0, 2,  1,  32,  144,  4,  1, 0 , 65.91 
 0, 2,  16,  9,  4,  32,  1, 0 , 66.88 
 1, 16,  9,  4,  2,  2,  16, 0 , 91.35 
 1, 4,  3,  24,  1,  4,  32, 0 , 90.55 
 0, 48,  4,  1,  4,  12,  4, 0 , 67.79 
 0, 12,  16,  2,  4,  24,  1, 0 , 68.5 
 0, 4,  8,  3,  16,  6,  4, 0 , 67.72 
 1, 18,  64,  1,  16,  2,  1, 0 , 99.52 
 0, 128,  1,  1,  16,  9,  2, 0 , 67.18 
 1, 96,  2,  1,  16,  6,  2, 0 , 87.3 
 1, 16,  4,  1,  6,  2,  48, 0 , 90.22 
 0, 2,  96,  6,  1,  8,  4, 0 , 76.27 
 0, 4,  4,  6,  64,  6,  1, 0 , 67.5 
 0, 1,  64,  6,  4,  12,  2, 0 , 69.12 
 0, 1,  16,  4,  16,  18,  2, 0 , 66.98 
 1, 48,  1,  8,  8,  2,  6, 0 , 94.64 
 1, 1,  4,  288,  16,  2,  1, 0 , 96.19 
 1, 32,  1,  2,  72,  1,  8, 0 , 80.38 
 1, 2,  8,  72,  1,  1,  32, 0 , 99.41 
 0, 1,  8,  6,  2,  6,  64, 0 , 68.9 
 0, 2,  16,  18,  8,  1,  8, 0 , 70.46 
 1, 1,  6,  16,  16,  6,  4, 0 , 94.19 
 0, 18,  4,  4,  1,  16,  8, 0 , 67.38 
 1, 4,  9,  2,  4,  128,  1, 0 , 87.93 
 1, 24,  4,  2,  1,  8,  24, 0 , 94.56 
 1, 3,  48,  4,  32,  1,  2, 0 , 95.72 
 0, 36,  1,  8,  1,  16,  8, 0 , 66.87 
 0, 1,  8,  72,  1,  32,  2, 0 , 70.46 
 0, 6,  2,  3,  1024,  1,  1, 0 , 67.29 
 0, 8,  1,  72,  8,  8,  1, 0 , 70.68 
 0, 1,  24,  4,  2,  3,  64, 0 , 68.3 
 1, 6,  12,  2,  1,  4,  64, 0 , 96.3 
 1, 16,  9,  2,  2,  8,  8, 0 , 90.69 
 0, 2,  24,  4,  4,  3,  16, 0 , 67.15 
 0, 1,  24,  16,  12,  1,  8, 0 , 68.38 
 0, 1,  12,  48,  8,  2,  4, 0 , 69.77 
 1, 2,  2,  18,  4,  32,  4, 0 , 88.17 
 1, 3,  4,  32,  3,  4,  8, 0 , 94.75 
 0, 2,  3,  16,  4,  48,  2, 0 , 67.91 
 0, 1,  8,  8,  72,  1,  8, 0 , 66.25 
 0, 2,  3,  32,  3,  4,  16, 0 , 66.79 
 1, 2,  24,  4,  8,  3,  8, 0 , 87.25 
 0, 8,  6,  24,  2,  16,  1, 0 , 75.76 
 0, 3,  96,  4,  2,  2,  8, 0 , 76.46 
 1, 1,  192,  1,  6,  1,  32, 0 , 87.24 
 0, 18,  8,  8,  4,  2,  4, 0 , 76.3 
 1, 8,  24,  2,  2,  2,  24, 0 , 94.46 
 1, 16,  36,  2,  4,  4,  2, 0 , 95.9 
 1, 32,  6,  1,  4,  3,  16, 0 , 94.19 
 0, 1,  72,  1,  32,  4,  4, 0 , 68.02 
 0, 16,  8,  1,  9,  16,  2, 0 , 68.19 
 0, 16,  1,  12,  2,  8,  12, 0 , 67.15 
 0, 2,  3,  6,  4,  4,  64, 0 , 67.83 
 0, 4,  48,  2,  4,  3,  8, 0 , 68.41 
 1, 96,  1,  1,  3,  2,  64, 0 , 94.49 
 1, 192,  3,  1,  1,  16,  4, 0 , 93.82 
 0, 1,  4,  18,  4,  2,  64, 0 , 68.11 
 0, 4,  2,  16,  2,  3,  48, 0 , 67.14 
 0, 2,  64,  3,  3,  1,  32, 0 , 68.49 
 1, 2,  18,  8,  8,  2,  8, 0 , 86.78 
 1, 8,  6,  4,  32,  6,  1, 0 , 93.72 
 0, 2,  32,  1,  2,  24,  12, 0 , 66.98 
 1, 8,  16,  9,  1,  1,  32, 0 , 94.75 
 0, 3,  4,  6,  1,  512,  1, 0 , 67.13 
 0, 192,  1,  2,  1,  3,  32, 0 , 68.94 
 0, 1,  8,  16,  4,  18,  4, 0 , 67.46 
 0, 1,  16,  36,  4,  1,  16, 0 , 70.1 
 1, 1,  12,  32,  2,  4,  12, 0 , 94.73 
 1, 3,  1,  32,  32,  6,  2, 0 , 88.24 
 1, 8,  2,  36,  2,  2,  16, 0 , 91.33 
 1, 2,  1,  36,  8,  2,  32, 0 , 95.56 
 1, 96,  3,  2,  8,  1,  8, 0 , 96.18 
 1, 4,  2,  36,  8,  2,  8, 0 , 91.28 
 0, 6,  1,  24,  4,  1,  64, 0 , 67.61 
 0, 8,  2,  3,  16,  8,  6, 0 , 68.7 
 0, 64,  1,  6,  12,  1,  8, 0 , 68.49 
 0, 4,  2,  8,  18,  16,  2, 0 , 66.34 
 1, 1,  18,  4,  4,  64,  2, 0 , 96.2 
 1, 6,  1,  48,  4,  8,  4, 0 , 90.83 
 0, 64,  6,  1,  1,  8,  12, 0 , 67.61 
