Kernel,gx,gy,gz,bx,by,bz,gpuId,gst_efficiency
1,4,16,2,10,5,16,1,12.5
1,2,200,4,2,16,2,1,12.5
1,32,5,2,32,10,1,1,12.5
1,5,1,20,2,512,1,1,12.5
1,8,1,40,1,64,5,1,12.5
1,8,2,8,20,8,5,1,12.5
1,5,2,80,128,1,1,1,12.5
1,1,10,64,2,16,5,1,12.5
1,32,10,1,64,5,1,1,12.5
1,5,128,1,2,20,4,1,12.5
1,20,8,1,1,640,1,1,12.5
1,40,2,10,32,2,2,1,12.5
0,400,1,8,1,32,1,1,100.0
1,10,1,64,160,1,1,1,12.5
1,20,1,10,4,64,2,1,12.5
1,1,16,10,4,80,2,1,12.5
1,10,20,16,8,1,4,1,12.5
1,2,10,10,1,512,1,1,12.5
1,1,1,320,4,16,5,1,12.5
1,1,80,40,1,32,1,1,12.5
1,16,10,5,4,16,2,1,12.5
1,1,16,200,16,1,2,1,12.5
1,1,1,160,32,2,10,1,12.5
1,5,8,20,2,4,16,1,12.5
1,2,320,1,16,2,5,1,12.5
1,2,2,80,40,1,8,1,12.5
1,8,4,5,2,5,64,1,12.5
1,1,50,4,1,64,8,1,12.5
1,16,1,50,4,32,1,1,12.5
0,20,8,10,8,2,4,1,100.0
1,1,128,1,8,25,4,1,12.5
1,8,2,10,16,40,1,1,12.5
1,5,8,16,16,10,1,1,12.5
1,4,1,160,20,8,1,1,12.5
1,2,16,10,16,2,10,1,12.5
1,2,160,5,16,1,4,1,12.5
0,100,1,2,8,16,4,1,100.0
1,1,20,40,1,128,1,1,12.5
1,1,8,20,8,8,10,1,12.5
1,2,40,20,32,1,2,1,12.5
1,4,8,5,2,80,4,1,12.5
0,25,8,1,2,32,8,1,100.0
1,160,1,5,4,4,8,1,12.5
1,16,4,5,80,1,4,1,12.5
1,1,80,4,20,16,1,1,12.5
1,2,5,160,1,1,64,1,12.5
1,5,2,10,512,1,2,1,12.5
1,1,16,100,1,4,16,1,12.5
1,10,1,16,4,160,1,1,12.5
1,8,2,10,1,10,64,1,12.5
1,16,5,40,8,2,2,1,12.5
1,1,5,32,8,20,4,1,12.5
0,100,2,8,4,4,4,1,100.0
0,1,32,4,50,1,16,1,100.0
1,16,5,2,2,20,16,1,12.5
1,64,2,1,20,4,10,1,12.5
1,1,20,40,32,1,4,1,12.5
1,4,32,5,4,4,10,1,12.5
1,8,5,8,4,80,1,1,12.5
1,5,20,2,64,4,2,1,12.5
1,100,4,2,4,8,4,1,12.5
1,1,128,1,4,50,4,1,12.5
1,100,4,8,1,1,32,1,12.5
0,1,4,80,10,1,32,1,100.0
1,8,1,20,64,5,2,1,12.5
1,4,5,20,4,2,32,1,12.5
1,8,50,2,2,1,64,1,12.5
1,1,40,16,2,40,2,1,12.5
1,16,2,20,8,4,5,1,12.5
1,10,64,5,1,16,2,1,12.5
1,4,800,1,1,32,1,1,12.5
1,800,1,1,32,1,4,1,12.5
1,800,4,1,8,1,4,1,12.5
1,80,20,1,1,1,64,1,12.5
1,40,4,1,8,40,2,1,12.5
1,1,32,5,8,40,2,1,12.5
1,8,5,8,8,40,1,1,12.5
1,1,50,8,64,1,4,1,12.5
1,1,20,80,16,4,1,1,12.5
1,40,5,8,1,32,2,1,12.5
1,40,2,20,16,1,4,1,12.5
1,2,1,64,5,32,5,1,12.5
1,20,2,20,4,32,1,1,12.5
1,1,8,80,4,20,2,1,12.5
1,5,2,32,1,10,32,1,12.5
1,4,1,160,2,20,4,1,12.5
1,4,10,4,32,2,10,1,12.5
1,1,80,40,4,8,1,1,12.5
1,2,1,160,160,1,2,1,12.5
1,50,2,32,8,4,1,1,12.5
1,16,10,4,2,16,5,1,12.5
0,80,10,4,1,1,32,1,100.0
0,8,1,20,8,20,4,1,100.0
1,2,2,32,5,5,32,1,12.5
1,2,80,2,1,8,40,1,12.5
1,1,2,400,64,2,1,1,12.5
1,40,4,4,1,80,2,1,12.5
1,16,1,8,25,32,1,1,12.5
1,40,4,4,16,5,2,1,12.5
1,5,80,2,4,2,16,1,12.5
1,1,320,2,32,5,1,1,12.5
1,4,1,100,1,8,32,1,12.5
1,40,4,2,2,40,4,1,12.5
1,40,1,5,1,128,4,1,12.5
1,5,1,40,16,16,2,1,12.5
1,8,8,10,40,4,1,1,12.5
1,50,4,1,4,32,4,1,12.5
1,160,2,10,1,4,8,1,12.5
1,5,16,10,8,4,4,1,12.5
1,2,20,8,1,20,16,1,12.5
1,200,8,1,16,4,1,1,12.5
1,1,4,80,2,16,10,1,12.5
0,4,32,5,1,8,20,1,100.0
0,1,5,64,32,5,2,1,100.0
1,5,64,2,4,20,2,1,12.5
1,32,1,5,10,2,32,1,12.5
1,2,64,5,1,16,10,1,12.5
1,25,32,4,1,32,1,1,12.5
1,10,20,1,16,4,8,1,12.5
1,100,2,2,32,1,8,1,12.5
1,20,4,2,10,4,16,1,12.5
1,1,16,25,8,8,4,1,12.5
1,16,50,2,4,1,16,1,12.5
1,10,4,80,1,2,16,1,12.5
1,1,4,50,64,2,4,1,12.5
1,1,25,4,1,64,16,1,12.5
1,32,10,10,2,4,4,1,12.5
1,20,2,4,32,5,4,1,12.5
1,4,16,2,400,2,1,1,12.5
