gx,gy,gz,bx,by,bz,smefficiency
1,2,32,4,4,4,10.54
2,1,8,2,32,4,10.62
2,16,4,4,1,8,18.34
2,4,1,8,32,2,9.64
1,2,16,1,8,16,10.98
1,2,8,16,2,8,11.3
4,32,1,1,1,32,18.17
2,32,1,4,2,8,10.55
4,8,1,4,1,32,10.52
2,2,8,4,1,32,10.7
2,32,1,1,4,16,12.74
8,1,16,1,32,1,18.26
32,4,1,1,32,1,18.17
8,1,1,128,2,2,9.71
8,1,4,4,16,2,10.62
2,1,2,256,1,4,8.72
2,8,1,16,8,2,10.52
1,4,4,2,32,4,10.52
1,16,1,16,4,4,10.52
4,2,1,256,2,1,9.67
4,2,1,64,1,8,9.61
16,4,1,16,2,2,10.54
2,2,2,64,8,1,9.63
4,16,2,4,1,8,18.35
2,2,16,8,1,8,10.72
1,2,2,1,32,32,8.89
16,2,1,1,32,4,10.55
4,1,8,4,1,32,10.71
2,16,2,4,4,4,10.79
2,2,16,8,2,4,11.31
2,32,1,8,2,4,10.55
1,4,4,4,1,64,10.6
8,1,16,4,8,1,18.28
4,1,4,16,2,8,11.55
1,1,64,2,32,1,10.49
4,2,2,64,2,2,10.76
2,1,4,4,2,64,9.68
8,8,1,1,2,32,11.79
16,2,4,4,8,1,18.18
4,1,32,32,1,1,18.27
2,4,1,2,32,8,9.64
8,16,1,2,1,16,18.15
32,2,1,4,8,2,10.55
8,4,1,16,4,2,10.54
2,2,16,2,2,16,10.8
1,2,8,8,1,32,10.6
2,4,1,64,1,8,9.6
1,8,16,1,4,8,18.17
2,1,8,2,128,1,10.62
4,2,8,4,16,1,10.55
16,4,1,1,32,2,10.57
1,16,8,8,1,4,18.27
2,4,4,16,2,4,10.78
4,1,2,64,1,8,9.71
8,1,1,2,256,1,9.59
4,2,1,1,32,16,9.18
1,16,1,1,8,32,10.49
2,2,16,1,1,64,10.72
2,1,16,4,2,16,10.61
4,2,1,2,32,8,9.64
1,4,8,2,32,2,10.54
16,4,2,2,1,16,18.33
4,4,8,1,1,32,18.31
1,2,2,8,32,4,8.71
2,2,2,32,4,4,9.77
4,1,8,8,2,8,10.62
4,2,4,4,8,4,10.77
2,1,16,128,1,1,10.6
1,4,2,16,8,4,9.63
4,1,8,2,16,4,10.63
2,1,8,1,16,16,10.51
8,1,1,2,4,64,9.72
64,1,1,4,16,1,10.51
4,2,16,4,2,4,18.41
4,8,1,4,16,2,10.53
16,1,8,1,4,8,18.15
2,2,16,2,1,32,10.73
16,2,1,8,16,1,11.33
32,4,1,8,2,2,18.17
2,8,4,2,16,2,10.79
16,2,4,8,1,4,18.36
16,2,2,2,2,16,10.79
4,4,4,2,1,32,10.72
2,1,32,8,4,2,10.65
1,2,2,8,8,16,8.71
2,2,1,4,32,8,8.71
1,32,4,2,4,4,18.18
4,2,4,2,64,1,10.55
2,2,32,1,1,32,18.34
16,1,1,32,4,2,10.67
32,1,2,2,1,32,10.71
1,64,1,1,16,4,10.53
2,16,4,16,1,2,18.34
4,2,2,16,8,2,10.76
1,32,1,32,1,4,10.65
1,2,16,64,2,1,10.51
16,1,4,64,1,1,10.62
1,4,8,1,8,16,10.52
8,2,8,1,8,4,18.19
1,2,32,16,4,1,10.54
1,8,2,1,128,2,10.49
2,2,4,128,2,1,10.54
16,4,2,16,2,1,18.2
