gx,gy,gz,bx,by,bz,gpuId,smefficiency   
32,1,1,8,16,1,0,10.5 
1,1,16,16,16,1,0,10.48 
1,2,8,16,16,1,0,10.51 
1,4,4,16,16,1,0,10.51 
1,8,2,16,16,1,0,10.52 
1,16,1,16,16,1,0,10.59 
2,1,8,16,16,1,0,10.62 
2,2,4,16,16,1,0,10.55 
2,4,2,16,16,1,0,10.56 
2,8,1,16,16,1,0,10.63 
4,1,4,16,16,1,0,10.61 
4,2,2,16,16,1,0,10.55 
4,4,1,16,16,1,0,10.62 
8,1,2,16,16,1,0,10.61 
8,2,1,16,16,1,0,10.62 
16,1,1,16,16,1,0,10.48 
1,1,8,32,16,1,0,9.58 
1,2,4,32,16,1,0,9.61 
1,4,2,32,16,1,0,9.61 
1,8,1,32,16,1,0,9.65 
2,1,4,32,16,1,0,9.66 
2,2,2,32,16,1,0,9.64 
2,4,1,32,16,1,0,9.68 
4,1,2,32,16,1,0,9.66 
4,2,1,32,16,1,0,9.67 
8,1,1,32,16,1,0,9.59 
1,1,4,64,16,1,0,8.65 
1,2,2,64,16,1,0,8.67 
1,4,1,64,16,1,0,8.66 
2,1,2,64,16,1,0,8.67 
2,2,1,64,16,1,0,8.7 
4,1,1,64,16,1,0,8.65 
1,1,128,1,32,1,0,18.26 
1,2,64,1,32,1,0,18.16 
1,4,32,1,32,1,0,18.15 
1,8,16,1,32,1,0,18.17 
1,16,8,1,32,1,0,18.16 
1,32,4,1,32,1,0,18.17 
1,64,2,1,32,1,0,18.17 
1,128,1,1,32,1,0,18.17 
2,1,64,1,32,1,0,18.26 
2,2,32,1,32,1,0,18.3 
2,4,16,1,32,1,0,18.31 
2,8,8,1,32,1,0,18.3 
2,16,4,1,32,1,0,18.3 
2,32,2,1,32,1,0,18.31 
2,64,1,1,32,1,0,18.21 
4,1,32,1,32,1,0,18.28 
4,2,16,1,32,1,0,18.31 
4,4,8,1,32,1,0,18.3 
4,8,4,1,32,1,0,18.27 
4,16,2,1,32,1,0,18.31 
4,32,1,1,32,1,0,18.19 
8,1,16,1,32,1,0,18.25 
8,2,8,1,32,1,0,18.29 
8,4,4,1,32,1,0,18.28 
8,8,2,1,32,1,0,18.3 
8,16,1,1,32,1,0,18.2 
16,1,8,1,32,1,0,18.28 
16,2,4,1,32,1,0,18.29 
16,4,2,1,32,1,0,18.3 
16,8,1,1,32,1,0,18.21 
32,1,4,1,32,1,0,18.31 
32,2,2,1,32,1,0,18.31 
32,4,1,1,32,1,0,18.19 
64,1,2,1,32,1,0,18.27 
64,2,1,1,32,1,0,18.19 
128,1,1,1,32,1,0,18.32 
1,1,64,2,32,1,0,10.5 
1,2,32,2,32,1,0,10.54 
1,4,16,2,32,1,0,10.53 
1,8,8,2,32,1,0,10.52 
1,16,4,2,32,1,0,10.52 
1,32,2,2,32,1,0,10.53 
1,64,1,2,32,1,0,10.61 
2,1,32,2,32,1,0,10.64 
2,2,16,2,32,1,0,10.57 
2,4,8,2,32,1,0,10.55 
2,8,4,2,32,1,0,10.56 
2,16,2,2,32,1,0,10.57 
2,32,1,2,32,1,0,10.65 
4,1,16,2,32,1,0,10.65 
4,2,8,2,32,1,0,10.57 
4,4,4,2,32,1,0,10.57 
4,8,2,2,32,1,0,10.56 
4,16,1,2,32,1,0,10.65 
8,1,8,2,32,1,0,10.65 
8,2,4,2,32,1,0,10.57 
8,4,2,2,32,1,0,10.56 
8,8,1,2,32,1,0,10.65 
16,1,4,2,32,1,0,10.65 
16,2,2,2,32,1,0,10.56 
16,4,1,2,32,1,0,10.65 
32,1,2,2,32,1,0,10.65 
32,2,1,2,32,1,0,10.7 
64,1,1,2,32,1,0,10.51 
1,1,32,4,32,1,0,10.49 
1,2,16,4,32,1,0,10.53 
1,4,8,4,32,1,0,10.53 
1,8,4,4,32,1,0,10.53 
1,16,2,4,32,1,0,10.52 
1,32,1,4,32,1,0,10.61 
2,1,16,4,32,1,0,10.63 
2,2,8,4,32,1,0,10.56 
2,4,4,4,32,1,0,10.57 
2,8,2,4,32,1,0,10.56 
2,16,1,4,32,1,0,10.64 
4,1,8,4,32,1,0,10.63 
4,2,4,4,32,1,0,10.56 
4,4,2,4,32,1,0,10.56 
4,8,1,4,32,1,0,10.63 
8,1,4,4,32,1,0,10.62 
8,2,2,4,32,1,0,10.56 
8,4,1,4,32,1,0,10.63 
16,1,2,4,32,1,0,10.62 
16,2,1,4,32,1,0,10.63 
32,1,1,4,32,1,0,10.49 
1,1,16,8,32,1,0,10.47 
1,2,8,8,32,1,0,10.51 
1,4,4,8,32,1,0,10.51 
1,8,2,8,32,1,0,10.52 
1,16,1,8,32,1,0,10.59 
2,1,8,8,32,1,0,10.61 
2,2,4,8,32,1,0,10.55 
2,4,2,8,32,1,0,10.55 
2,8,1,8,32,1,0,10.62 
4,1,4,8,32,1,0,10.6 
4,2,2,8,32,1,0,10.55 
4,4,1,8,32,1,0,10.62 
8,1,2,8,32,1,0,10.61 
8,2,1,8,32,1,0,10.62 
16,1,1,8,32,1,0,10.48 
1,1,8,16,32,1,0,9.59 
1,2,4,16,32,1,0,9.61 
1,4,2,16,32,1,0,9.62 
1,8,1,16,32,1,0,9.65 
2,1,4,16,32,1,0,9.66 
2,2,2,16,32,1,0,9.63 
2,4,1,16,32,1,0,9.68 
4,1,2,16,32,1,0,9.66 
4,2,1,16,32,1,0,9.68 
8,1,1,16,32,1,0,9.59 
1,1,4,32,32,1,0,8.65 
1,2,2,32,32,1,0,8.67 
1,4,1,32,32,1,0,8.66 
2,1,2,32,32,1,0,8.67 
2,2,1,32,32,1,0,8.71 
4,1,1,32,32,1,0,8.65 
1,1,64,1,64,1,0,10.59 
1,2,32,1,64,1,0,10.49 
1,4,16,1,64,1,0,10.49 
1,8,8,1,64,1,0,10.49 
1,16,4,1,64,1,0,10.49 
1,32,2,1,64,1,0,10.49 
1,64,1,1,64,1,0,10.49 
2,1,32,1,64,1,0,10.62 
2,2,16,1,64,1,0,10.66 
2,4,8,1,64,1,0,10.65 
2,8,4,1,64,1,0,10.65 
2,16,2,1,64,1,0,10.64 
2,32,1,1,64,1,0,10.54 
4,1,16,1,64,1,0,10.62 
4,2,8,1,64,1,0,10.65 
4,4,4,1,64,1,0,10.64 
4,8,2,1,64,1,0,10.65 
4,16,1,1,64,1,0,10.54 
8,1,8,1,64,1,0,10.62 
8,2,4,1,64,1,0,10.64 
8,4,2,1,64,1,0,10.65 
8,8,1,1,64,1,0,10.54 
16,1,4,1,64,1,0,10.61 
16,2,2,1,64,1,0,10.65 
16,4,1,1,64,1,0,10.54 
32,1,2,1,64,1,0,10.6 
32,2,1,1,64,1,0,10.54 
64,1,1,1,64,1,0,10.66 
1,1,32,2,64,1,0,10.48 
1,2,16,2,64,1,0,10.51 
1,4,8,2,64,1,0,10.52 
1,8,4,2,64,1,0,10.52 
1,16,2,2,64,1,0,10.52 
1,32,1,2,64,1,0,10.6 
