'gx:9, gy:23, gz:1, bx:16, by:1, bz:2, ' 
'gx:23, gy:1, gz:9, bx:16, by:1, bz:2, ' 
'gx:23, gy:3, gz:3, bx:16, by:1, bz:2, ' 
'gx:23, gy:9, gz:1, bx:16, by:1, bz:2, ' 
'gx:69, gy:1, gz:3, bx:16, by:1, bz:2, ' 
'gx:69, gy:3, gz:1, bx:16, by:1, bz:2, ' 
'gx:207, gy:1, gz:1, bx:16, by:1, bz:2, ' 
'gx:1, gy:1, gz:69, bx:48, by:1, bz:2, ' 
'gx:1, gy:3, gz:23, bx:48, by:1, bz:2, ' 
'gx:1, gy:23, gz:3, bx:48, by:1, bz:2, ' 
'gx:1, gy:69, gz:1, bx:48, by:1, bz:2, ' 
'gx:3, gy:1, gz:23, bx:48, by:1, bz:2, ' 
'gx:3, gy:23, gz:1, bx:48, by:1, bz:2, ' 
'gx:23, gy:1, gz:3, bx:48, by:1, bz:2, ' 
'gx:23, gy:3, gz:1, bx:48, by:1, bz:2, ' 
'gx:69, gy:1, gz:1, bx:48, by:1, bz:2, ' 
'gx:1, gy:1, gz:23, bx:144, by:1, bz:2, ' 
'gx:1, gy:23, gz:1, bx:144, by:1, bz:2, ' 
'gx:23, gy:1, gz:1, bx:144, by:1, bz:2, ' 
'gx:1, gy:1, gz:9, bx:368, by:1, bz:2, ' 
'gx:1, gy:3, gz:3, bx:368, by:1, bz:2, ' 
'gx:1, gy:9, gz:1, bx:368, by:1, bz:2, ' 
'gx:3, gy:1, gz:3, bx:368, by:1, bz:2, ' 
'gx:3, gy:3, gz:1, bx:368, by:1, bz:2, ' 
'gx:9, gy:1, gz:1, bx:368, by:1, bz:2, ' 
'gx:1, gy:1, gz:207, bx:8, by:2, bz:2, ' 
'gx:1, gy:3, gz:69, bx:8, by:2, bz:2, ' 
'gx:1, gy:9, gz:23, bx:8, by:2, bz:2, ' 
'gx:1, gy:23, gz:9, bx:8, by:2, bz:2, ' 
'gx:1, gy:69, gz:3, bx:8, by:2, bz:2, ' 
'gx:1, gy:207, gz:1, bx:8, by:2, bz:2, ' 
'gx:3, gy:1, gz:69, bx:8, by:2, bz:2, ' 
'gx:3, gy:3, gz:23, bx:8, by:2, bz:2, ' 
'gx:3, gy:23, gz:3, bx:8, by:2, bz:2, ' 
'gx:3, gy:69, gz:1, bx:8, by:2, bz:2, ' 
'gx:9, gy:1, gz:23, bx:8, by:2, bz:2, ' 
'gx:9, gy:23, gz:1, bx:8, by:2, bz:2, ' 
'gx:23, gy:1, gz:9, bx:8, by:2, bz:2, ' 
'gx:23, gy:3, gz:3, bx:8, by:2, bz:2, ' 
'gx:23, gy:9, gz:1, bx:8, by:2, bz:2, ' 
'gx:69, gy:1, gz:3, bx:8, by:2, bz:2, ' 
'gx:69, gy:3, gz:1, bx:8, by:2, bz:2, ' 
'gx:207, gy:1, gz:1, bx:8, by:2, bz:2, ' 
'gx:1, gy:1, gz:69, bx:24, by:2, bz:2, ' 
'gx:1, gy:3, gz:23, bx:24, by:2, bz:2, ' 
'gx:1, gy:23, gz:3, bx:24, by:2, bz:2, ' 
'gx:1, gy:69, gz:1, bx:24, by:2, bz:2, ' 
'gx:3, gy:1, gz:23, bx:24, by:2, bz:2, ' 
'gx:3, gy:23, gz:1, bx:24, by:2, bz:2, ' 
'gx:23, gy:1, gz:3, bx:24, by:2, bz:2, ' 
'gx:23, gy:3, gz:1, bx:24, by:2, bz:2, ' 
'gx:69, gy:1, gz:1, bx:24, by:2, bz:2, ' 
'gx:1, gy:1, gz:23, bx:72, by:2, bz:2, ' 
'gx:1, gy:23, gz:1, bx:72, by:2, bz:2, ' 
'gx:23, gy:1, gz:1, bx:72, by:2, bz:2, ' 
'gx:1, gy:1, gz:9, bx:184, by:2, bz:2, ' 
'gx:1, gy:3, gz:3, bx:184, by:2, bz:2, ' 
'gx:1, gy:9, gz:1, bx:184, by:2, bz:2, ' 
