Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,4,16,8,16,2,1,1,0.239306
1,4,4,4,4,32,2,1,0.167014
1,4,1,16,32,1,8,1,0.167322
1,32,4,1,2,64,1,1,0.167878
1,2,32,8,2,4,4,1,0.239326
1,16,32,1,8,1,4,1,0.237114
1,1,8,2,8,16,8,1,0.190457
1,1,4,4,512,2,1,1,0.190359
1,2,128,2,16,1,2,1,0.239424
1,16,1,2,8,4,16,1,0.175625
1,16,2,2,4,64,1,1,0.167186
1,8,32,2,8,1,4,1,0.236278
1,2,64,2,8,2,4,1,0.187065
1,4,1,4,2,16,32,1,0.190462
1,2,1,8,64,2,8,1,0.190595
1,1,16,32,1,32,1,1,0.239461
1,32,1,2,4,16,4,1,0.166913
1,4,4,1,32,16,2,1,0.190308
1,8,1,4,4,4,32,1,0.175672
1,8,1,16,8,4,4,1,0.168212
1,1,16,32,8,2,2,1,0.236192
1,2,16,2,64,2,2,1,0.166816
0,1,32,16,1,2,16,1,0.413035
1,4,16,1,8,8,4,1,0.167139
1,256,1,1,8,4,2,1,0.186569
0,2,16,2,64,2,2,1,0.651993
1,4,2,8,1,256,1,1,0.167384
1,2,4,64,2,1,16,1,0.238994
1,8,2,8,4,4,8,1,0.168158
1,16,32,1,2,16,1,1,0.239647
1,4,1,4,4,8,32,1,0.190108
1,8,4,1,1,256,2,1,0.329139
1,4,8,1,16,2,16,1,0.175743
0,1,2,32,2,8,16,1,0.627297
1,8,4,1,8,2,32,1,0.175738
1,2,4,8,128,1,2,1,0.167443
1,2,8,4,4,4,16,1,0.167141
1,2,32,2,4,8,4,1,0.167819
1,4,4,8,1,4,32,1,0.168356
1,4,4,2,1,512,1,1,0.175675
1,8,16,1,16,1,8,1,0.167834
1,128,2,1,1,8,8,1,0.908312
1,32,4,1,1,8,16,1,1.089718
1,8,16,1,32,4,1,1,0.16801
1,8,8,8,2,2,8,1,0.236529
1,4,4,1,512,1,2,1,0.190282
1,1,4,8,1,128,4,1,0.17578
1,1,64,2,128,1,1,1,0.16834
1,1,2,16,1,512,1,1,0.175924
1,32,1,8,16,2,2,1,0.186823
1,1,2,32,8,32,1,1,0.167915
1,1,2,64,1,128,1,1,0.167849
1,1,4,64,1,8,8,1,0.186687
1,16,1,2,2,4,64,1,0.175619
1,8,32,2,4,2,4,1,0.240038
1,64,4,1,32,2,1,1,0.186946
1,16,1,4,2,64,2,1,0.167378
1,8,8,2,8,8,2,1,0.16807
1,8,32,1,2,32,1,1,0.186945
1,32,2,8,1,32,1,1,0.239436
1,1,2,16,1,128,4,1,0.17524
1,2,2,4,8,8,16,1,0.190291
1,16,2,1,64,2,4,1,0.175509
1,4,2,16,4,1,32,1,0.168025
1,2,8,1,1,128,8,1,0.416686
1,2,16,4,4,16,2,1,0.168073
1,32,1,1,128,2,2,1,0.175505
1,2,2,8,4,8,16,1,0.175479
0,1,2,128,2,1,32,1,0.504936
1,64,1,8,2,8,2,1,0.240687
1,8,8,1,16,16,1,1,0.167046
1,2,16,1,1,32,16,1,0.417654
1,1,512,1,1,1,32,1,0.236636
1,1,1,64,4,16,4,1,0.167005
1,8,64,1,16,2,1,1,0.242858
1,1,256,2,8,4,1,1,0.23686
1,2,64,2,32,2,1,1,0.186786
1,16,1,8,1,64,2,1,0.167903
1,32,4,1,8,4,4,1,0.168213
1,1,8,64,16,2,1,1,0.240456
1,64,2,1,4,2,16,1,0.16788
1,1,4,64,2,1,32,1,0.186775
0,32,2,8,1,16,2,1,0.41393
1,2,1,64,4,16,2,1,0.167997
1,2,1,256,8,2,2,1,0.24231
1,4,4,2,8,2,32,1,0.17579
1,4,128,1,2,8,2,1,0.239173
1,16,2,8,2,2,16,1,0.186781
1,1,1,64,64,4,1,1,0.167013
1,128,4,1,4,1,8,1,0.238797
1,2,16,16,1,4,8,1,0.239737
1,1,128,2,32,1,2,1,0.186659
1,2,64,1,2,2,32,1,0.16793
1,8,2,4,2,2,64,1,0.16677
