Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,36,1,2,2,2,32,1,0.096395
1,1,2,6,48,1,16,1,0.113725
1,1,6,4,2,32,6,1,0.131706
1,4,4,6,4,2,12,1,0.097389
1,4,8,1,9,4,8,1,0.104773
1,3,2,4,16,24,1,1,0.131168
1,8,3,2,3,64,1,1,0.101655
1,48,3,2,1,1,32,1,0.091466
1,2,3,24,1,64,1,1,0.095189
1,1,18,8,4,4,4,1,0.095002
1,1,4,4,3,12,16,1,0.107936
1,2,1,16,2,9,16,1,0.106643
1,3,1,24,32,1,4,1,0.095607
1,1,8,2,32,2,9,1,0.106926
1,2,2,8,2,72,2,1,0.103376
1,2,3,8,16,1,12,1,0.104102
1,32,3,3,1,16,2,1,0.09135
1,1,24,1,2,64,3,1,0.131016
1,9,32,1,2,8,2,1,0.090713
0,36,4,1,4,1,16,1,0.296601
1,1,8,2,24,4,6,1,0.107566
1,3,12,4,8,4,2,1,0.094461
1,9,4,2,2,64,1,1,0.097401
1,4,6,1,6,1,64,1,0.130282
1,12,2,1,12,2,16,1,0.131488
1,1,8,18,2,8,4,1,0.094457
1,36,1,2,4,16,2,1,0.095683
1,6,2,8,12,4,2,1,0.09848
1,12,3,2,32,4,1,1,0.09641
1,1,8,12,16,2,3,1,0.098335
1,6,1,2,1,96,8,1,0.113535
1,4,2,18,32,1,2,1,0.095057
1,12,3,1,16,8,2,1,0.111401
0,1,4,36,2,4,8,1,0.325049
1,4,1,12,3,2,32,1,0.102917
1,1,4,12,3,1,64,1,0.103651
1,4,8,1,24,12,1,1,0.103462
0,3,2,3,16,2,16,1,0.330399
0,1,12,1,1,48,16,1,0.359219
0,2,3,2,3,16,16,1,0.408433
1,2,6,12,1,64,1,1,0.094095
1,9,8,4,8,4,1,1,0.0913
1,1,3,4,64,6,2,1,0.111068
1,2,4,2,3,8,24,1,0.106189
1,4,1,3,2,384,1,1,0.11391
1,32,1,1,8,6,6,1,0.104087
1,12,1,4,2,8,12,1,0.104239
0,18,1,8,2,2,16,1,0.345742
1,1,12,12,1,1,64,1,0.096033
1,1,4,72,2,4,4,1,0.091411
1,3,4,1,2,192,2,1,0.11528
1,4,3,1,48,8,2,1,0.114769
1,3,32,1,12,1,8,1,0.098033
1,9,1,16,2,8,4,1,0.094219
1,8,3,2,3,8,8,1,0.101994
1,3,2,24,2,16,2,1,0.094645
1,4,3,8,4,2,12,1,0.097156
1,2,4,4,1,16,18,1,0.104621
1,48,1,2,1,4,24,1,0.096787
1,4,4,9,32,1,2,1,0.096043
1,1,1,24,4,2,48,1,0.130939
1,2,9,8,4,4,4,1,0.093559
1,2,3,2,2,32,12,1,0.115115
0,3,1,32,16,3,2,1,0.327555
