gx,gy,gz,bx,by,bz,gpuId,smefficiency
8,16,8,256,1,1,0,19.07
8,32,4,256,1,1,0,19.06
8,64,2,256,1,1,0,19.04
8,128,1,256,1,1,0,19.05
16,1,64,256,1,1,0,19.04
16,2,32,256,1,1,0,19.06
16,4,16,256,1,1,0,19.07
16,8,8,256,1,1,0,19.08
16,16,4,256,1,1,0,19.05
16,32,2,256,1,1,0,19.07
16,64,1,256,1,1,0,19.05
32,1,32,256,1,1,0,19.06
32,2,16,256,1,1,0,19.06
32,4,8,256,1,1,0,19.06
32,8,4,256,1,1,0,19.08
32,16,2,256,1,1,0,19.06
32,32,1,256,1,1,0,19.06
64,1,16,256,1,1,0,19.07
64,2,8,256,1,1,0,19.07
64,4,4,256,1,1,0,19.08
64,8,2,256,1,1,0,19.06
64,16,1,256,1,1,0,19.07
128,1,8,256,1,1,0,19.07
128,2,4,256,1,1,0,19.07
128,4,2,256,1,1,0,19.07
128,8,1,256,1,1,0,19.06
256,1,4,256,1,1,0,19.1
256,2,2,256,1,1,0,19.13
256,4,1,256,1,1,0,19.08
512,1,2,256,1,1,0,19.06
512,2,1,256,1,1,0,19.05
1024,1,1,256,1,1,0,19.05
1,1,512,512,1,1,0,10.19
1,2,256,512,1,1,0,10.19
1,4,128,512,1,1,0,10.19
1,8,64,512,1,1,0,10.19
1,16,32,512,1,1,0,10.19
1,32,16,512,1,1,0,10.19
1,64,8,512,1,1,0,10.19
1,128,4,512,1,1,0,10.19
1,256,2,512,1,1,0,10.18
1,512,1,512,1,1,0,10.19
2,1,256,512,1,1,0,10.18
2,2,128,512,1,1,0,10.19
2,4,64,512,1,1,0,10.2
2,8,32,512,1,1,0,10.19
2,16,16,512,1,1,0,10.2
2,32,8,512,1,1,0,10.19
2,64,4,512,1,1,0,10.2
2,128,2,512,1,1,0,10.19
2,256,1,512,1,1,0,10.18
4,1,128,512,1,1,0,10.19
4,2,64,512,1,1,0,10.2
4,4,32,512,1,1,0,10.2
4,8,16,512,1,1,0,10.2
4,16,8,512,1,1,0,10.2
4,32,4,512,1,1,0,10.2
4,64,2,512,1,1,0,10.19
4,128,1,512,1,1,0,10.18
8,1,64,512,1,1,0,10.18
8,2,32,512,1,1,0,10.19
8,4,16,512,1,1,0,10.2
8,8,8,512,1,1,0,10.19
8,16,4,512,1,1,0,10.19
8,32,2,512,1,1,0,10.19
