Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
0,1,216,3,8,4,4,0,90.28
1,4,6,108,1,8,4,0,12.5
1,3,1,72,128,1,3,0,12.5
1,12,12,6,32,3,1,0,12.5
1,8,1,12,2,216,2,0,12.5
0,1,96,27,4,8,1,0,90.28
0,18,1,8,3,96,2,0,90.28
1,9,1,48,8,4,6,0,12.5
1,108,2,2,2,96,1,0,12.5
1,12,6,6,4,1,48,0,12.5
1,36,1,4,576,1,1,0,12.5
1,2,2,24,6,8,18,0,12.5
1,3,72,4,4,24,1,0,12.5
1,72,18,2,2,4,4,0,12.5
1,54,2,1,32,12,2,0,12.5
1,54,2,1,8,32,3,0,12.5
1,36,1,3,1,384,2,0,12.5
1,4,54,3,64,1,2,0,12.5
1,1,9,48,192,1,1,0,12.5
1,8,12,3,6,6,8,0,12.5
1,8,1,18,1,12,48,0,12.5
1,4,3,12,1,576,1,0,12.5
1,12,4,2,8,4,27,0,12.5
1,8,1,12,2,36,12,0,12.5
1,2,72,2,18,8,2,0,12.5
1,2,9,16,1,18,16,0,12.5
1,4,18,3,8,3,16,0,12.5
1,1,8,36,36,4,2,0,12.5
1,1,1,216,4,3,32,0,12.5
1,9,2,16,3,3,32,0,12.5
1,4,1,36,6,16,6,0,12.5
1,27,8,4,2,8,6,0,12.5
0,9,12,8,4,6,4,0,90.28
1,16,9,1,36,2,8,0,12.5
1,3,108,8,1,4,8,0,12.5
1,4,4,6,27,32,1,0,12.5
1,8,12,27,8,1,4,0,12.5
1,4,3,24,9,2,16,0,12.5
1,108,1,12,1,1,64,0,12.5
1,36,3,4,8,8,3,0,12.5
1,3,9,4,2,12,32,0,12.5
1,1,12,8,8,27,4,0,12.5
1,18,8,2,3,96,1,0,12.5
1,16,2,27,1,48,2,0,12.5
0,2,36,3,32,6,2,0,90.28
1,2,24,6,8,6,6,0,12.5
1,1,36,18,16,2,4,0,12.5
1,54,3,2,2,128,1,0,12.5
1,1,144,2,2,16,9,0,12.5
1,72,1,3,1,384,1,0,12.5
1,36,4,3,3,8,8,0,12.5
1,108,2,3,2,8,8,0,12.5
1,54,8,6,1,16,2,0,12.5
1,12,1,27,2,16,8,0,12.5
0,216,2,6,4,4,2,0,90.28
0,9,9,32,8,2,2,0,90.28
0,3,18,2,16,3,16,0,90.28
1,1,1,96,36,6,4,0,12.5
1,3,48,9,64,1,1,0,12.5
1,48,3,9,1,1,64,0,12.5
1,16,1,54,16,6,1,0,12.5
1,36,1,9,2,2,64,0,12.5
1,24,9,1,8,3,16,0,12.5
1,8,12,1,144,2,3,0,12.5
1,4,36,6,2,16,3,0,12.5
1,4,3,12,16,3,12,0,12.5
1,216,6,2,1,32,1,0,12.5
1,18,18,8,1,16,2,0,12.5
1,3,4,8,18,3,16,0,12.5
1,36,2,3,16,3,8,0,12.5
1,1,9,72,8,8,2,0,12.5
1,18,36,2,8,1,8,0,12.5
1,12,3,4,3,64,3,0,12.5
0,72,2,1,3,3,64,0,90.28
1,9,3,12,4,32,2,0,12.5
1,12,1,8,1,864,1,0,12.5
1,6,2,12,6,48,2,0,12.5
1,1,36,6,12,2,16,0,12.5
1,3,6,144,2,1,16,0,12.5
1,1,27,24,8,8,2,0,12.5
1,3,36,2,1,12,32,0,12.5
1,9,3,8,6,1,64,0,12.5
1,4,18,2,6,32,3,0,12.5
1,18,1,8,3,32,6,0,12.5
1,4,12,9,3,64,1,0,12.5
1,6,8,2,12,4,18,0,12.5
1,1,6,16,4,24,9,0,12.5
1,9,6,4,3,32,4,0,12.5
1,8,2,6,2,54,8,0,12.5
1,54,2,12,2,1,32,0,12.5
1,24,4,3,6,48,1,0,12.5
1,8,2,6,27,4,8,0,12.5
1,3,1,108,1,32,8,0,12.5
1,18,6,1,8,32,3,0,12.5
0,36,24,1,6,1,16,0,90.28
1,2,4,12,9,24,4,0,12.5
1,6,36,4,1,4,24,0,12.5
1,3,4,12,144,2,2,0,12.5
1,1,4,24,6,8,18,0,12.5
1,1,3,288,32,3,1,0,12.5
1,4,36,2,2,72,2,0,12.5
1,1,24,4,8,12,9,0,12.5
1,16,1,9,1,48,12,0,12.5
1,1,24,6,36,4,4,0,12.5
1,24,54,2,2,8,2,0,12.5
1,6,2,12,24,6,4,0,12.5
1,3,1,96,144,2,1,0,12.5
1,48,1,6,9,16,2,0,12.5
1,6,2,24,2,144,1,0,12.5
1,12,12,6,16,3,2,0,12.5
1,32,3,9,1,32,3,0,12.5
0,96,1,1,24,4,9,0,90.28
0,8,12,1,32,27,1,0,90.28
1,27,4,2,192,2,1,0,12.5
1,12,27,4,1,16,4,0,12.5
1,12,4,9,8,12,2,0,12.5
1,6,3,36,16,8,1,0,12.5
1,12,18,1,16,8,3,0,12.5
1,3,8,6,96,6,1,0,12.5
1,12,2,4,6,16,9,0,12.5
1,1,12,36,1,16,12,0,12.5
1,36,2,2,1,48,12,0,12.5
0,18,2,18,4,2,16,0,90.28
1,4,9,12,8,1,24,0,12.5
1,6,1,48,48,6,1,0,12.5
1,27,16,6,4,8,1,0,12.5
1,1,4,72,72,1,4,0,12.5
1,1,1,108,16,48,1,0,12.5
1,8,36,1,2,9,16,0,12.5
1,2,6,8,144,1,6,0,12.5
1,3,9,12,2,2,64,0,12.5
1,9,16,6,16,6,1,0,12.5
1,27,2,4,1,384,1,0,12.5
1,1,6,24,3,48,4,0,12.5
1,1,864,1,3,32,1,0,12.5
1,1,18,16,36,8,1,0,12.5
1,2,216,6,16,2,1,0,12.5
1,18,24,2,8,6,2,0,12.5
1,16,1,6,72,6,2,0,12.5
1,48,6,1,24,3,4,0,12.5
1,81,4,1,4,16,4,0,12.5
0,6,72,2,2,6,8,0,90.28
1,4,9,3,3,256,1,0,12.5
1,12,2,9,2,8,24,0,12.5
1,144,1,9,1,64,1,0,12.5
1,3,12,4,3,192,1,0,12.5
1,6,1,48,144,2,1,0,12.5
1,12,6,4,4,3,24,0,12.5
1,48,1,9,1,8,24,0,12.5
1,18,4,2,32,9,2,0,12.5
1,1,24,18,8,8,3,0,12.5
0,2,324,2,32,1,2,0,90.28
1,48,6,1,3,3,32,0,12.5
1,3,48,2,16,2,9,0,12.5
1,1,4,36,18,16,2,0,12.5
1,6,6,4,24,2,12,0,12.5
1,1,6,16,8,27,4,0,12.5
1,32,1,3,4,24,9,0,12.5
1,2,54,8,6,4,4,0,12.5
1,12,2,4,288,1,3,0,12.5
0,36,2,3,2,16,12,0,90.28
1,4,9,12,1,48,4,0,12.5
1,4,162,1,4,4,8,0,12.5
1,3,3,12,6,128,1,0,12.5
1,27,3,4,1,128,2,0,12.5
1,1,18,12,1,384,1,0,12.5
1,4,4,81,8,2,4,0,12.5
1,2,18,6,16,6,4,0,12.5
1,32,3,9,4,2,12,0,12.5
1,9,8,4,4,18,4,0,12.5
0,27,1,32,4,3,8,0,90.28
1,1,8,36,12,2,12,0,12.5
1,3,8,12,2,8,18,0,12.5
1,3,6,16,12,3,8,0,12.5
1,1,8,12,4,4,54,0,12.5
1,54,1,16,32,1,3,0,12.5
1,9,8,3,16,4,6,0,12.5
0,4,3,8,1,36,24,0,90.28
1,6,3,8,4,144,1,0,12.5
1,2,8,9,2,18,16,0,12.5
1,12,24,1,24,6,2,0,12.5
1,1,12,8,1,144,6,0,12.5
1,36,3,4,2,12,8,0,12.5
1,24,1,4,6,12,12,0,12.5
1,24,1,4,2,72,6,0,12.5
1,9,8,12,2,48,1,0,12.5
0,24,1,4,9,8,12,0,90.28
1,16,3,9,1,4,48,0,12.5
1,72,2,2,2,16,9,0,12.5
0,1,36,4,2,16,18,0,90.28
1,24,2,2,18,2,24,0,12.5
1,6,72,2,4,4,6,0,12.5
1,2,9,8,4,3,48,0,12.5
1,18,12,1,8,4,12,0,12.5
1,12,4,2,3,12,24,0,12.5
1,9,2,36,2,2,32,0,12.5
1,16,9,3,1,24,8,0,12.5
1,54,8,6,2,16,1,0,12.5
0,2,4,12,1,32,27,0,90.28
1,54,3,1,2,4,64,0,12.5
1,54,1,48,32,1,1,0,12.5
1,3,16,2,24,3,12,0,12.5
1,1,6,144,4,8,3,0,12.5
1,27,4,4,12,16,1,0,12.5
1,2,2,216,24,2,2,0,12.5
1,9,6,2,192,2,2,0,12.5
1,96,1,1,2,24,18,0,12.5
1,2,81,1,1,256,2,0,12.5
1,16,6,3,8,1,36,0,12.5
0,1,27,4,32,3,8,0,90.28
1,24,2,9,4,1,48,0,12.5
1,2,18,6,4,2,48,0,12.5
1,4,12,2,16,18,3,0,12.5
1,12,6,12,3,1,32,0,12.5
1,16,18,1,36,2,4,0,12.5
1,3,3,32,12,6,4,0,12.5
1,3,3,24,24,8,2,0,12.5
1,54,8,2,3,4,8,0,12.5
1,12,1,8,12,72,1,0,12.5
1,27,8,2,16,12,1,0,12.5
1,2,1,108,16,12,2,0,12.5
1,18,1,16,1,144,2,0,12.5
1,6,4,6,16,1,36,0,12.5
1,36,2,4,2,72,2,0,12.5
1,3,3,18,32,8,2,0,12.5
1,2,18,4,16,12,3,0,12.5
1,12,9,8,1,4,24,0,12.5
0,8,2,18,3,3,32,0,90.28
1,2,54,1,64,4,3,0,12.5
1,4,1,36,16,4,9,0,12.5
1,12,18,4,4,24,1,0,12.5
1,3,48,1,4,9,16,0,12.5
1,3,9,6,1,16,32,0,12.5
1,6,144,1,1,2,48,0,12.5
1,108,2,3,64,2,1,0,12.5
1,18,4,6,1,4,48,0,12.5
1,8,12,1,216,2,2,0,12.5
0,3,18,4,24,8,2,0,90.28
